YYYY;MM;DD;DOY;2m_temp_max;2m_temp_mean;2m_temp_min;2m_dp_temp_max;2m_dp_temp_mean;2m_dp_temp_min;10m_wind_u;10m_wind_v;fcst_alb;lai_high_veg;lai_low_veg;swe;surf_net_solar_rad_max;surf_net_solar_rad_mean;surf_net_therm_rad_max;surf_net_therm_rad_mean;surf_press;total_et;prec;volsw_123;volsw_4
1981;1;1;1;3.2;0.8;-1.5;1.1;-3.1;-7.2;4.4;1.3;0.15;1.4;2.5;2.95;129;21;92;48;95553;0.86;2.96;0.4;0.39
1981;1;2;2;0.1;-1;-2;-1.3;-5.1;-7.2;3.6;0;0.17;1.4;2.5;4;175;35;92;48;95683;0.3;3.84;0.4;0.39
1981;1;3;3;4.1;2.5;0;2.3;1;-1.1;4.3;2.3;0.36;1.4;2.4;11.57;49;8;45;11;94314;0.28;15.76;0.4;0.39
1981;1;4;4;2.5;1;-1;0.6;-1;-2.2;3.7;0.3;0.32;1.4;2.4;10.12;112;23;83;48;94179;0.43;3.09;0.41;0.39
1981;1;5;5;-1;-2.8;-5.2;-2.3;-5;-8.1;1.6;-2.2;0.33;1.4;2.4;11.22;103;21;65;43;94769;0.36;1.65;0.4;0.39
1981;1;6;6;-4.2;-6.4;-10.7;-7;-8.9;-12.3;0.7;-0.6;0.36;1.4;2.4;12.41;142;29;81;47;95469;0.12;0.71;0.4;0.39
1981;1;7;7;-7.2;-9.4;-12.5;-9.4;-11;-13.9;0.2;-1.9;0.41;1.4;2.4;13.61;106;20;58;29;96369;0.06;1.98;0.4;0.4
1981;1;8;8;-9.9;-12.2;-18.1;-11.2;-14.4;-20.1;-1.4;-2.4;0.44;1.4;2.4;14.69;149;29;84;50;97871;0.05;0.09;0.4;0.4
1981;1;9;9;-10.7;-17;-22.6;-15.3;-20.5;-24.9;-0.5;0.5;0.43;1.3;2.4;14.65;167;35;97;54;97575;0.09;0;0.4;0.4
1981;1;10;10;-6.4;-11.3;-18.7;-11.6;-15.9;-22.5;0;1.6;0.43;1.3;2.4;14.54;142;28;60;25;96341;0.23;0.09;0.4;0.4
