YYYY;MM;DD;DOY;2m_temp_max;2m_temp_mean;2m_temp_min;2m_dp_temp_max;2m_dp_temp_mean;2m_dp_temp_min;10m_wind_u;10m_wind_v;fcst_alb;lai_high_veg;lai_low_veg;swe;surf_net_solar_rad_max;surf_net_solar_rad_mean;surf_net_therm_rad_max;surf_net_therm_rad_mean;surf_press;total_et;prec;volsw_123;volsw_4
1981;1;1;1;-4;-6.9;-10.2;-7.7;-11.3;-15;0.6;-0.3;0.37;1.7;2.7;225.24;131;24;49;27;83350;-0.1;6.52;0.21;0.28
1981;1;2;2;-6.8;-8.9;-10.4;-9.1;-10.4;-11.5;0.7;-0.1;0.37;1.7;2.7;236.35;116;23;33;19;83320;-0.01;12.91;0.21;0.27
1981;1;3;3;-2.5;-5;-7.6;-4.8;-7.2;-8.8;0.5;0.9;0.38;1.7;2.7;246.17;134;29;70;16;82466;0.05;8.82;0.21;0.27
1981;1;4;4;-2.8;-4.9;-9;-3.8;-6;-11.2;0.4;-0.4;0.38;1.7;2.7;260.04;58;14;65;25;81870;0;16.01;0.21;0.27
1981;1;5;5;-8.9;-11;-12.2;-11.4;-12.8;-14.1;0.9;-1;0.38;1.7;2.7;275.15;95;19;63;26;82382;0.24;16.1;0.21;0.27
1981;1;6;6;-9.8;-11.7;-13.5;-12.5;-13.8;-15.3;0.4;0.1;0.38;1.7;2.7;290.24;84;17;31;18;82399;0.04;16.23;0.21;0.27
1981;1;7;7;-12.5;-14.3;-16.2;-13.9;-16.4;-18.4;0.5;-1.1;0.38;1.6;2.7;305.26;179;34;68;27;83060;0.15;10.59;0.21;0.27
1981;1;8;8;-16.4;-17.6;-20;-18.4;-20.1;-22.8;0.2;-0.9;0.38;1.6;2.7;313.67;160;35;82;43;83991;0.06;4;0.21;0.27
1981;1;9;9;-11.5;-17.4;-22.6;-21.2;-23.9;-26.9;0;0.4;0.38;1.6;2.7;314.83;220;48;79;55;83907;0.03;0;0.21;0.27
1981;1;10;10;-7.7;-13.3;-17;-13.9;-16.3;-20.6;-0.1;0.9;0.37;1.6;2.7;314.89;206;44;70;30;82896;-0.05;0.24;0.21;0.27
1981;1;11;11;-5.1;-10.9;-14.5;-10.1;-13.4;-16.1;-0.2;0.7;0.37;1.6;2.7;315.26;200;41;77;42;83190;-0.05;0.12;0.2;0.27
1981;1;12;12;-7.4;-12.8;-14.9;-12.4;-15.1;-16.2;0;1.4;0.37;1.6;2.7;315.4;229;50;94;65;82861;0;0;0.2;0.27
1981;1;13;13;-9.2;-11.9;-14.9;-11.1;-13.7;-16.4;0;0;0.37;1.6;2.7;316.16;111;25;51;23;82274;-0.1;2.73;0.2;0.27
1981;1;14;14;-8.8;-12.5;-14.6;-13.3;-16.3;-18.2;0.2;0.2;0.37;1.6;2.7;318.64;233;49;99;52;82399;0.09;0.5;0.2;0.27
1981;1;15;15;-7.3;-10.2;-13;-9.9;-13.6;-17.4;0.4;0.2;0.37;1.6;2.7;322.87;131;26;90;25;80962;-0.03;9.28;0.2;0.27
1981;1;16;16;-10.7;-13;-16.8;-12.7;-15.1;-18.7;0.5;-0.2;0.37;1.6;2.7;331.71;110;25;69;35;81965;0;6.12;0.2;0.27
1981;1;17;17;-5.8;-10.9;-14.9;-11.6;-14.6;-17.3;0;1.2;0.37;1.6;2.7;336.78;194;43;80;35;82109;0.04;4.5;0.2;0.27
1981;1;18;18;-4.6;-8.6;-11;-8.4;-11.1;-13.5;0.2;0;0.37;1.6;2.7;340.41;185;38;62;32;82590;-0.07;5.61;0.2;0.27
1981;1;19;19;-6.3;-9.3;-13;-9.8;-11.6;-14.7;0.2;0.8;0.37;1.6;2.7;346.28;115;25;52;23;82629;0;12.17;0.2;0.27
1981;1;20;20;-7.5;-9.4;-11;-10.2;-11.5;-12.6;0.4;-0.8;0.38;1.6;2.7;361.93;164;34;69;27;82222;-0.02;12.88;0.2;0.27
1981;1;21;21;-9.8;-11.6;-13.6;-12.3;-13.2;-15;0.3;-1;0.38;1.6;2.7;372.89;186;39;64;38;83532;0;5.28;0.2;0.27
1981;1;22;22;-9;-13.2;-16.6;-14.6;-16.7;-18.8;0;0;0.38;1.6;2.7;374.61;259;59;102;77;83949;0.02;0;0.2;0.27
1981;1;23;23;-5.4;-11.8;-15.8;-13.9;-17.7;-20.7;-0.1;0.6;0.37;1.6;2.7;374.63;256;59;94;65;84170;-0.03;0;0.2;0.27
1981;1;24;24;-3.1;-9.2;-14.4;-12.9;-17.6;-20.2;0;0.5;0.37;1.6;2.7;374.67;259;59;95;63;83823;-0.02;0;0.2;0.27
1981;1;25;25;-5.3;-9.1;-11.7;-13.5;-16.7;-20.2;0.2;0.2;0.37;1.6;2.7;374.69;252;58;91;50;83639;0;0.53;0.2;0.27
1981;1;26;26;-7.4;-9.3;-10.9;-8.8;-10.7;-12.9;0.5;-0.8;0.37;1.6;2.7;380.4;112;26;73;16;83925;-0.08;9.85;0.2;0.27
1981;1;27;27;-8.8;-10.8;-12.4;-11.6;-13.5;-15.4;0.1;-0.5;0.37;1.6;2.7;385.18;273;60;104;61;84567;0.06;0.11;0.2;0.27
1981;1;28;28;-8.5;-12.1;-16.9;-14.1;-16.6;-19.2;0;0;0.37;1.6;2.7;385.23;202;43;76;55;84684;0.03;0.1;0.2;0.27
1981;1;29;29;-4.1;-12;-17.9;-14.1;-19.2;-22.2;-0.2;0.8;0.37;1.6;2.7;385.32;285;67;119;85;84545;0;0;0.2;0.27
1981;1;30;30;-2.7;-9.9;-17.9;-12.3;-18.7;-23.9;-0.1;0.7;0.37;1.6;2.7;385.32;282;67;105;70;84607;-0.04;0;0.2;0.27
1981;1;31;31;-1.6;-7.3;-11.9;-11.2;-15.6;-19.8;-0.1;0.6;0.37;1.6;2.7;385.32;277;66;90;58;84862;-0.03;0;0.2;0.27
1981;2;1;32;1.4;-5.4;-11.3;-5.9;-9.4;-12.8;-0.1;0.6;0.37;1.6;2.7;385.38;280;67;94;60;84944;-0.12;0;0.19;0.27
1981;2;2;33;1.5;-5.1;-10.3;-6.1;-9.1;-12.5;-0.1;0.6;0.37;1.6;2.7;385.49;289;69;105;73;84883;-0.06;0;0.19;0.26
1981;2;3;34;-1.8;-6.4;-12.1;-7.8;-10.7;-14.6;0;1.3;0.36;1.6;2.7;385.53;277;63;97;52;83412;0.03;0.09;0.19;0.26
1981;2;4;35;-3.2;-5.3;-7.8;-5;-7.4;-9.5;0.2;0.3;0.36;1.6;2.7;388.83;102;27;72;22;81508;0.06;8.82;0.19;0.26
1981;2;5;36;-7.1;-9.2;-11;-9.2;-11.1;-13.3;0.5;-0.9;0.37;1.6;2.7;398.5;168;42;59;40;81983;0.16;8.75;0.19;0.26
1981;2;6;37;-5.4;-8;-10.6;-7.6;-10.1;-12;0.6;-0.3;0.38;1.6;2.7;408.25;250;47;67;18;83173;0.05;10.47;0.19;0.26
1981;2;7;38;-0.4;-2.5;-6.3;-1.6;-3.7;-7.4;0.4;-0.2;0.38;1.6;2.7;415.77;143;30;20;5;84050;-0.14;5.54;0.19;0.26
1981;2;8;39;2.7;-0.5;-4.3;-1.6;-2.6;-5.3;0.2;0.2;0.37;1.6;2.7;419.26;269;66;100;58;84057;0.02;0.32;0.19;0.26
1981;2;9;40;4.1;-2.3;-6.8;-2.8;-5.9;-8.6;0;1.2;0.37;1.6;2.7;419.27;313;77;109;81;83481;0.1;0;0.19;0.26
1981;2;10;41;-0.1;-4.5;-9.3;-2.8;-5.9;-10.1;0.2;0;0.36;1.6;2.7;420.94;162;33;85;39;83139;0.05;5.8;0.19;0.26
1981;2;11;42;-5.7;-8.6;-11;-9;-10.9;-12.4;0.1;-0.8;0.37;1.6;2.7;425.24;258;64;80;61;83313;0.09;1.18;0.19;0.26
1981;2;12;43;-8.9;-11.2;-13;-12.1;-13.9;-15.8;0;-0.5;0.37;1.6;2.7;426.58;289;66;77;53;82764;0.17;1.51;0.19;0.26
1981;2;13;44;-9.9;-12.9;-15.8;-14.7;-16.4;-17.9;-0.3;-0.3;0.37;1.6;2.7;427.23;340;86;107;75;83024;0.15;0.05;0.19;0.26
1981;2;14;45;-9.2;-14.1;-17.8;-15.2;-17.5;-20;0;0;0.37;1.6;2.7;427.19;344;86;105;76;83246;0;0;0.19;0.26
1981;2;15;46;-7;-11.7;-16.7;-14.9;-18.3;-21.7;0.1;0.1;0.37;1.6;2.7;427.16;344;88;102;74;83235;0.05;0;0.19;0.26
1981;2;16;47;-4.1;-10.1;-15.9;-13.5;-16.4;-19.9;-0.2;0.3;0.36;1.6;2.7;427.11;349;90;107;76;83277;0;0;0.19;0.26
1981;2;17;48;-6.8;-11.3;-15.4;-11.8;-14.6;-18.4;-0.3;-0.1;0.36;1.6;2.7;427.14;346;86;93;58;83128;-0.02;0.13;0.19;0.26
1981;2;18;49;-7.6;-11.2;-13.5;-12.5;-13.8;-14.9;-0.3;-0.5;0.36;1.6;2.7;427.46;325;77;74;35;82599;0.05;0.74;0.19;0.26
