YYYY;MM;DD;qobs;ckhs;qceq;qcol
1981;1;1;130.51;1;0;0
1981;1;2;122.99;1;0;0
1981;1;3;159.01;1;0;0
1981;1;4;228.031;1;0;0
1981;1;5;212.542;1;0;0
1981;1;6;170.156;1;0;0
1981;1;7;173.292;1;0;0
1981;1;8;178.656;1;0;0
1981;1;9;153.26;1;0;0
1981;1;10;146.312;1;0;0
1981;1;11;146.823;1;0;0
1981;1;12;145.323;1;0;0
1981;1;13;144.167;1;0;0
1981;1;14;142.188;1;0;0
1981;1;15;154.167;1;0;0
1981;1;16;156.656;1;0;0
1981;1;17;155.521;1;0;0
1981;1;18;163.823;1;0;0
1981;1;19;155.938;1;0;0
1981;1;20;191.562;1;0;0
1981;1;21;192.844;1;0;0
1981;1;22;162.688;1;0;0
1981;1;23;165.75;1;0;0
1981;1;24;144.083;1;0;0
1981;1;25;142.906;1;0;0
1981;1;26;143.417;1;0;0
1981;1;27;139.656;1;0;0
1981;1;28;136.552;1;0;0
1981;1;29;134.604;1;0;0
1981;1;30;146.104;1;0;0
1981;1;31;131.604;1;0;0
1981;2;1;111.667;1;0;0
1981;2;2;126.188;1;0;0
1981;2;3;131.656;1;0;0
1981;2;4;142.146;1;0;0
1981;2;5;176.75;1;0;0
1981;2;6;144.24;1;0;0
1981;2;7;146.677;1;0;0
1981;2;8;219.438;1;0;0
1981;2;9;225.938;1;0;0
1981;2;10;200.656;1;0;0
1981;2;11;193.292;1;0;0
1981;2;12;177.01;1;0;0
1981;2;13;162.781;1;0;0
1981;2;14;146.875;1;0;0
1981;2;15;135.729;1;0;0
1981;2;16;134.885;1;0;0
1981;2;17;136.156;1;0;0
1981;2;18;134.938;1;0;0
1981;2;19;135.906;1;0;0
1981;2;20;129.552;1;0;0
1981;2;21;126.979;1;0;0
1981;2;22;133.625;1;0;0
1981;2;23;131.375;1;0;0
1981;2;24;134.323;1;0;0
1981;2;25;137.229;1;0;0
1981;2;26;133.635;1;0;0
1981;2;27;131.896;1;0;0
1981;2;28;126.385;1;0;0
1981;3;1;110.228;1;0;0
1981;3;2;117.236;1;0;0
1981;3;3;113.525;1;0;0
1981;3;4;122.844;1;0;0
1981;3;5;136.635;1;0;0
1981;3;6;138.729;1;0;0
1981;3;7;128.771;1;0;0
1981;3;8;151.469;1;0;0
1981;3;9;167.979;1;0;0
1981;3;10;186.719;1;0;0
1981;3;11;189.812;1;0;0
1981;3;12;243.938;1;0;0
1981;3;13;310.562;1;0;0
1981;3;14;301.073;1;0;0
1981;3;15;268.5;1;0;0
1981;3;16;246.25;1;0;0
1981;3;17;239.229;1;0;0
1981;3;18;250.885;1;0;0
1981;3;19;241;1;0;0
1981;3;20;234.99;1;0;0
1981;3;21;206.052;1;0;0
1981;3;22;186.312;1;0;0
1981;3;23;200.979;1;0;0
1981;3;24;209.875;1;0;0
1981;3;25;225.104;1;0;0
1981;3;26;231.948;1;0;0
1981;3;27;262.812;1;0;0
1981;3;28;246.792;1;0;0
1981;3;29;242.396;1;0;0
1981;3;30;241.594;1;0;0
1981;3;31;244.25;1;0;0
1981;4;1;258.167;1;0;0
1981;4;2;254.99;1;0;0
1981;4;3;248.521;1;0;0
1981;4;4;245.875;1;0;0
1981;4;5;231.833;1;0;0
1981;4;6;214.083;1;0;0
1981;4;7;222.531;1;0;0
1981;4;8;226.104;1;0;0
1981;4;9;244.26;1;0;0
1981;4;10;250.062;1;0;0
1981;4;11;248.729;1;0;0
1981;4;12;228.854;1;0;0
1981;4;13;207.177;1;0;0
1981;4;14;186.073;1;0;0
1981;4;15;200.708;1;0;0
1981;4;16;207.938;1;0;0
1981;4;17;192.115;1;0;0
1981;4;18;182.823;1;0;0
1981;4;19;174.083;1;0;0
1981;4;20;163.781;1;0;0
1981;4;21;165.781;1;0;0
1981;4;22;149.76;1;0;0
1981;4;23;141.76;1;0;0
1981;4;24;150.677;1;0;0
1981;4;25;149.062;1;0;0
1981;4;26;129.969;1;0;0
1981;4;27;126.812;1;0;0
1981;4;28;132.875;1;0;0
1981;4;29;140.594;1;0;0
1981;4;30;124.438;1;0;0
1981;5;1;124.969;1;0;0
1981;5;2;135.24;1;0;0
1981;5;3;126.312;1;0;0
1981;5;4;154.49;1;0;0
1981;5;5;135.323;1;0;0
1981;5;6;134.031;1;0;0
1981;5;7;142.073;1;0;0
1981;5;8;146.479;1;0;0
1981;5;9;128.458;1;0;0
1981;5;10;127;1;0;0
1981;5;11;137.01;1;0;0
1981;5;12;143.823;1;0;0
1981;5;13;129.938;1;0;0
1981;5;14;122.74;1;0;0
1981;5;15;133.698;1;0;0
1981;5;16;111.604;1;0;0
1981;5;17;117.971;1;0;0
1981;5;18;132.74;1;0;0
1981;5;19;124.854;1;0;0
1981;5;20;119.917;1;0;0
1981;5;21;113.322;1;0;0
1981;5;22;116.885;1;0;0
1981;5;23;128.188;1;0;0
1981;5;24;126.854;1;0;0
1981;5;25;111.576;1;0;0
1981;5;26;118.544;1;0;0
1981;5;27;164.677;1;0;0
1981;5;28;224.281;1;0;0
1981;5;29;183.135;1;0;0
1981;5;30;127.458;1;0;0
1981;5;31;121.562;1;0;0
1981;6;1;120.76;1;0;0
1981;6;2;128.771;1;0;0
1981;6;3;132.365;1;0;0
1981;6;4;130.094;1;0;0
1981;6;5;133.896;1;0;0
1981;6;6;124.323;1;0;0
1981;6;7;109.395;1;0;0
1981;6;8;102.127;1;0;0
1981;6;9;110.342;1;0;0
1981;6;10;145.417;1;0;0
1981;6;11;132.427;1;0;0
1981;6;12;130.167;1;0;0
1981;6;13;126.802;1;0;0
1981;6;14;118.875;1;0;0
1981;6;15;114.333;1;0;0
1981;6;16;137.271;1;0;0
1981;6;17;128.792;1;0;0
1981;6;18;112.083;1;0;0
1981;6;19;157.427;1;0;0
