YYYY;MM;DD;qobs;ckhs;qceq;qcol
1981;1;1;4.381;1;0;0
1981;1;2;4.493;1;0;0
1981;1;3;10.863;1;0;0
1981;1;4;16.06;1;0;0
1981;1;5;9.952;1;0;0
1981;1;6;7.507;1;0;0
1981;1;7;6.16;1;0;0
1981;1;8;5.61;1;0;0
1981;1;9;5.5;1;0;0
1981;1;10;5.869;1;0;0
1981;1;11;4.881;1;0;0
1981;1;12;4.661;1;0;0
1981;1;13;4.516;1;0;0
1981;1;14;4.256;1;0;0
1981;1;15;5.022;1;0;0
1981;1;16;5.634;1;0;0
1981;1;17;5.239;1;0;0
1981;1;18;6.478;1;0;0
1981;1;19;7.213;1;0;0
1981;1;20;8.566;1;0;0
1981;1;21;6.809;1;0;0
1981;1;22;5.786;1;0;0
1981;1;23;5.195;1;0;0
1981;1;24;5.905;1;0;0
1981;1;25;5.975;1;0;0
1981;1;26;4.522;1;0;0
1981;1;27;4.25;1;0;0
1981;1;28;3.954;1;0;0
1981;1;29;3.88;1;0;0
1981;1;30;3.862;1;0;0
1981;1;31;5.145;1;0;0
1981;2;1;4.74;1;0;0
1981;2;2;3.545;1;0;0
1981;2;3;3.52;1;0;0
1981;2;4;7.881;1;0;0
1981;2;5;7.835;1;0;0
1981;2;6;5.276;1;0;0
1981;2;7;16.062;1;0;0
1981;2;8;19.188;1;0;0
1981;2;9;11.339;1;0;0
1981;2;10;8.452;1;0;0
1981;2;11;6.947;1;0;0
1981;2;12;5.907;1;0;0
1981;2;13;5.121;1;0;0
1981;2;14;4.625;1;0;0
1981;2;15;4.365;1;0;0
1981;2;16;4.079;1;0;0
1981;2;17;3.989;1;0;0
1981;2;18;3.738;1;0;0
1981;2;19;3.671;1;0;0
1981;2;20;3.617;1;0;0
1981;2;21;3.57;1;0;0
1981;2;22;3.541;1;0;0
1981;2;23;3.408;1;0;0
1981;2;24;3.29;1;0;0
1981;2;25;3.19;1;0;0
1981;2;26;3.083;1;0;0
1981;2;27;3.011;1;0;0
1981;2;28;3.129;1;0;0
1981;3;1;3.021;1;0;0
1981;3;2;3.061;1;0;0
1981;3;3;3.191;1;0;0
1981;3;4;3.503;1;0;0
1981;3;5;3.383;1;0;0
1981;3;6;3.355;1;0;0
1981;3;7;3.54;1;0;0
1981;3;8;3.628;1;0;0
1981;3;9;3.737;1;0;0
1981;3;10;4.002;1;0;0
1981;3;11;4.024;1;0;0
1981;3;12;4.811;1;0;0
1981;3;13;12.194;1;0;0
1981;3;14;9.189;1;0;0
1981;3;15;5.954;1;0;0
1981;3;16;5.675;1;0;0
1981;3;17;6.141;1;0;0
1981;3;18;10.007;1;0;0
1981;3;19;8.287;1;0;0
1981;3;20;6.475;1;0;0
1981;3;21;5.307;1;0;0
1981;3;22;4.683;1;0;0
1981;3;23;4.134;1;0;0
1981;3;24;4.077;1;0;0
1981;3;25;4.095;1;0;0
1981;3;26;3.966;1;0;0
1981;3;27;3.728;1;0;0
1981;3;28;3.436;1;0;0
1981;3;29;3.458;1;0;0
1981;3;30;3.19;1;0;0
1981;3;31;3.227;1;0;0
1981;4;1;3.21;1;0;0
1981;4;2;3.176;1;0;0
1981;4;3;2.962;1;0;0
1981;4;4;2.91;1;0;0
1981;4;5;2.919;1;0;0
1981;4;6;2.755;1;0;0
1981;4;7;2.7;1;0;0
1981;4;8;2.746;1;0;0
1981;4;9;2.905;1;0;0
1981;4;10;2.743;1;0;0
1981;4;11;2.653;1;0;0
1981;4;12;2.569;1;0;0
1981;4;13;2.565;1;0;0
1981;4;14;2.429;1;0;0
1981;4;15;2.438;1;0;0
1981;4;16;2.353;1;0;0
1981;4;17;2.279;1;0;0
1981;4;18;2.251;1;0;0
1981;4;19;2.314;1;0;0
1981;4;20;2.189;1;0;0
1981;4;21;2.214;1;0;0
1981;4;22;2.292;1;0;0
1981;4;23;2.095;1;0;0
1981;4;24;2.042;1;0;0
1981;4;25;2.066;1;0;0
1981;4;26;2.165;1;0;0
1981;4;27;2.064;1;0;0
1981;4;28;2.107;1;0;0
1981;4;29;2.207;1;0;0
1981;4;30;2.066;1;0;0
1981;5;1;2.541;1;0;0
1981;5;2;3.369;1;0;0
1981;5;3;2.621;1;0;0
1981;5;4;2.291;1;0;0
1981;5;5;2.376;1;0;0
1981;5;6;2.229;1;0;0
1981;5;7;2.125;1;0;0
1981;5;8;2.021;1;0;0
1981;5;9;1.971;1;0;0
1981;5;10;1.934;1;0;0
1981;5;11;1.901;1;0;0
1981;5;12;1.845;1;0;0
1981;5;13;1.962;1;0;0
1981;5;14;1.866;1;0;0
1981;5;15;1.828;1;0;0
1981;5;16;1.806;1;0;0
1981;5;17;2.074;1;0;0
1981;5;18;2.03;1;0;0
1981;5;19;1.834;1;0;0
1981;5;20;1.741;1;0;0
1981;5;21;1.663;1;0;0
1981;5;22;1.775;1;0;0
1981;5;23;2.618;1;0;0
1981;5;24;2.084;1;0;0
1981;5;25;1.986;1;0;0
1981;5;26;1.924;1;0;0
1981;5;27;2.043;1;0;0
1981;5;28;1.943;1;0;0
1981;5;29;2.022;1;0;0
1981;5;30;2.074;1;0;0
1981;5;31;1.942;1;0;0
1981;6;1;1.957;1;0;0
1981;6;2;1.95;1;0;0
1981;6;3;1.846;1;0;0
