YYYY;MM;DD;qobs;ckhs;qceq;qcol
1981;1;1;6.5;1;0;0
1981;1;2;6.952;1;0;0
1981;1;3;13.109;1;0;0
1981;1;4;18.97;1;0;0
1981;1;5;16.849;1;0;0
1981;1;6;11.207;1;0;0
1981;1;7;9.016;1;0;0
1981;1;8;8.147;1;0;0
1981;1;9;7.661;1;0;0
1981;1;10;7.431;1;0;0
1981;1;11;7.304;1;0;0
1981;1;12;6.959;1;0;0
1981;1;13;6.859;1;0;0
1981;1;14;6.743;1;0;0
1981;1;15;7.741;1;0;0
1981;1;16;8.371;1;0;0
1981;1;17;7.969;1;0;0
1981;1;18;10.209;1;0;0
1981;1;19;11.105;1;0;0
1981;1;20;12.652;1;0;0
1981;1;21;10.153;1;0;0
1981;1;22;8.587;1;0;0
1981;1;23;7.849;1;0;0
1981;1;24;7.364;1;0;0
1981;1;25;6.976;1;0;0
1981;1;26;6.788;1;0;0
1981;1;27;6.532;1;0;0
1981;1;28;6.412;1;0;0
1981;1;29;6.095;1;0;0
1981;1;30;5.912;1;0;0
1981;1;31;5.843;1;0;0
1981;2;1;5.71;1;0;0
1981;2;2;5.615;1;0;0
1981;2;3;5.856;1;0;0
1981;2;4;18.176;1;0;0
1981;2;5;18.509;1;0;0
1981;2;6;9.824;1;0;0
1981;2;7;13.308;1;0;0
1981;2;8;15.643;1;0;0
1981;2;9;13.812;1;0;0
1981;2;10;10.858;1;0;0
1981;2;11;9.604;1;0;0
1981;2;12;8.675;1;0;0
1981;2;13;7.909;1;0;0
1981;2;14;7.3;1;0;0
1981;2;15;7.036;1;0;0
1981;2;16;6.73;1;0;0
1981;2;17;6.367;1;0;0
1981;2;18;6.297;1;0;0
1981;2;19;6.294;1;0;0
1981;2;20;6.268;1;0;0
1981;2;21;6.286;1;0;0
1981;2;22;6.211;1;0;0
1981;2;23;6.015;1;0;0
1981;2;24;5.919;1;0;0
1981;2;25;5.817;1;0;0
1981;2;26;5.769;1;0;0
1981;2;27;5.683;1;0;0
1981;2;28;5.643;1;0;0
1981;3;1;5.995;1;0;0
1981;3;2;6.016;1;0;0
1981;3;3;5.981;1;0;0
1981;3;4;6.246;1;0;0
1981;3;5;6.564;1;0;0
1981;3;6;6.378;1;0;0
1981;3;7;6.819;1;0;0
1981;3;8;6.856;1;0;0
1981;3;9;6.971;1;0;0
1981;3;10;7.85;1;0;0
1981;3;11;7.73;1;0;0
1981;3;12;7.941;1;0;0
1981;3;13;9.232;1;0;0
1981;3;14;10.554;1;0;0
1981;3;15;8.511;1;0;0
1981;3;16;7.902;1;0;0
1981;3;17;7.674;1;0;0
1981;3;18;7.658;1;0;0
1981;3;19;7.181;1;0;0
1981;3;20;7.041;1;0;0
1981;3;21;6.81;1;0;0
1981;3;22;6.898;1;0;0
1981;3;23;6.554;1;0;0
1981;3;24;6.873;1;0;0
1981;3;25;6.934;1;0;0
1981;3;26;6.581;1;0;0
1981;3;27;6.383;1;0;0
1981;3;28;6.082;1;0;0
1981;3;29;5.984;1;0;0
1981;3;30;5.766;1;0;0
1981;3;31;5.68;1;0;0
1981;4;1;5.611;1;0;0
1981;4;2;5.583;1;0;0
1981;4;3;5.574;1;0;0
1981;4;4;5.535;1;0;0
1981;4;5;5.443;1;0;0
1981;4;6;5.42;1;0;0
1981;4;7;5.393;1;0;0
1981;4;8;5.298;1;0;0
1981;4;9;5.388;1;0;0
1981;4;10;5.267;1;0;0
1981;4;11;5.365;1;0;0
1981;4;12;5.282;1;0;0
1981;4;13;5.175;1;0;0
1981;4;14;5.329;1;0;0
1981;4;15;5.087;1;0;0
1981;4;16;5.209;1;0;0
1981;4;17;5.093;1;0;0
1981;4;18;5.158;1;0;0
1981;4;19;5.143;1;0;0
1981;4;20;5.16;1;0;0
1981;4;21;5.088;1;0;0
1981;4;22;5.16;1;0;0
1981;4;23;5.158;1;0;0
1981;4;24;5.066;1;0;0
1981;4;25;5.089;1;0;0
1981;4;26;5.032;1;0;0
1981;4;27;5.3;1;0;0
1981;4;28;5.471;1;0;0
1981;4;29;5.452;1;0;0
1981;4;30;5.182;1;0;0
1981;5;1;6.234;1;0;0
1981;5;2;6.425;1;0;0
1981;5;3;6.16;1;0;0
1981;5;4;5.669;1;0;0
1981;5;5;5.683;1;0;0
1981;5;6;5.532;1;0;0
1981;5;7;5.29;1;0;0
1981;5;8;5.08;1;0;0
1981;5;9;4.964;1;0;0
1981;5;10;4.894;1;0;0
1981;5;11;5.015;1;0;0
1981;5;12;5.487;1;0;0
1981;5;13;5.808;1;0;0
1981;5;14;5.011;1;0;0
1981;5;15;4.805;1;0;0
1981;5;16;4.699;1;0;0
1981;5;17;6.16;1;0;0
1981;5;18;5.798;1;0;0
1981;5;19;4.839;1;0;0
1981;5;20;4.758;1;0;0
1981;5;21;4.502;1;0;0
1981;5;22;4.655;1;0;0
1981;5;23;5.132;1;0;0
1981;5;24;4.75;1;0;0
1981;5;25;5.315;1;0;0
1981;5;26;5.909;1;0;0
1981;5;27;13.238;1;0;0
1981;5;28;14.37;1;0;0
1981;5;29;9.331;1;0;0
1981;5;30;8.748;1;0;0
1981;5;31;7.23;1;0;0
1981;6;1;6.495;1;0;0
1981;6;2;6.237;1;0;0
1981;6;3;6.002;1;0;0
1981;6;4;5.943;1;0;0
1981;6;5;5.584;1;0;0
1981;6;6;5.683;1;0;0
1981;6;7;6.074;1;0;0
1981;6;8;5.783;1;0;0
1981;6;9;5.634;1;0;0
1981;6;10;5.555;1;0;0
1981;6;11;5.374;1;0;0
1981;6;12;5.299;1;0;0
1981;6;13;5.047;1;0;0
1981;6;14;5.122;1;0;0
1981;6;15;4.984;1;0;0
1981;6;16;4.997;1;0;0
1981;6;17;4.885;1;0;0
1981;6;18;5.157;1;0;0
1981;6;19;5.261;1;0;0
1981;6;20;5.047;1;0;0
1981;6;21;5.255;1;0;0
1981;6;22;5.488;1;0;0
1981;6;23;4.931;1;0;0
1981;6;24;5.424;1;0;0
1981;6;25;4.742;1;0;0
1981;6;26;4.516;1;0;0
1981;6;27;7.465;1;0;0
1981;6;28;4.622;1;0;0
1981;6;29;4.453;1;0;0
1981;6;30;4.339;1;0;0
1981;7;1;4.225;1;0;0
1981;7;2;4.172;1;0;0
1981;7;3;4.316;1;0;0
1981;7;4;4.782;1;0;0
1981;7;5;4.379;1;0;0
1981;7;6;4.162;1;0;0
1981;7;7;4.328;1;0;0
1981;7;8;4.05;1;0;0
1981;7;9;3.959;1;0;0
1981;7;10;3.908;1;0;0
1981;7;11;3.761;1;0;0
1981;7;12;3.778;1;0;0
1981;7;13;3.803;1;0;0
1981;7;14;4.033;1;0;0
1981;7;15;3.899;1;0;0
1981;7;16;4.009;1;0;0
1981;7;17;3.959;1;0;0
1981;7;18;5.651;1;0;0
1981;7;19;14.694;1;0;0
1981;7;20;21.484;1;0;0
1981;7;21;17.184;1;0;0
1981;7;22;11.702;1;0;0
1981;7;23;8.218;1;0;0
1981;7;24;8.742;1;0;0
1981;7;25;14.355;1;0;0
1981;7;26;12.905;1;0;0
1981;7;27;9.663;1;0;0
1981;7;28;8.396;1;0;0
1981;7;29;7.009;1;0;0
1981;7;30;6.265;1;0;0
1981;7;31;5.864;1;0;0
1981;8;1;5.515;1;0;0
1981;8;2;5.294;1;0;0
1981;8;3;5.033;1;0;0
