YYYY;MM;DD;qobs;ckhs;qceq;qcol
2003;1;1;5.07;1;0;0
2003;1;2;3.927;1;0;0
2003;1;3;4.229;1;0;0
2003;1;4;3.461;1;0;0
2003;1;5;3.194;1;0;0
2003;1;6;2.702;1;0;0
2003;1;7;2.481;1;0;0
2003;1;8;2.247;1;0;0
2003;1;9;2.02;1;0;0
2003;1;10;2.047;1;0;0
2003;1;11;1.887;1;0;0
2003;1;12;1.79;1;0;0
2003;1;13;1.74;1;0;0
2003;1;14;1.667;1;0;0
2003;1;15;1.512;1;0;0
2003;1;16;1.511;1;0;0
2003;1;17;1.401;1;0;0
2003;1;18;1.375;1;0;0
2003;1;19;1.326;1;0;0
2003;1;20;1.238;1;0;0
2003;1;21;1.206;1;0;0
2003;1;22;1.447;1;0;0
2003;1;23;1.474;1;0;0
2003;1;24;1.377;1;0;0
2003;1;25;1.208;1;0;0
2003;1;26;1.182;1;0;0
2003;1;27;1.173;1;0;0
2003;1;28;3.162;1;0;0
2003;1;29;2.532;1;0;0
2003;1;30;2.005;1;0;0
2003;1;31;1.827;1;0;0
2003;2;1;1.578;1;0;0
2003;2;2;1.384;1;0;0
2003;2;3;1.361;1;0;0
2003;2;4;1.334;1;0;0
2003;2;5;1.276;1;0;0
2003;2;6;1.193;1;0;0
2003;2;7;1.146;1;0;0
2003;2;8;1.137;1;0;0
2003;2;9;1.106;1;0;0
2003;2;10;1.078;1;0;0
2003;2;11;1.068;1;0;0
2003;2;12;1.011;1;0;0
2003;2;13;0.927;1;0;0
2003;2;14;0.929;1;0;0
2003;2;15;0.925;1;0;0
2003;2;16;0.953;1;0;0
2003;2;17;0.932;1;0;0
2003;2;18;0.874;1;0;0
2003;2;19;0.881;1;0;0
2003;2;20;0.87;1;0;0
2003;2;21;0.894;1;0;0
2003;2;22;0.893;1;0;0
2003;2;23;0.882;1;0;0
2003;2;24;0.865;1;0;0
2003;2;25;0.89;1;0;0
2003;2;26;0.914;1;0;0
2003;2;27;0.976;1;0;0
2003;2;28;1.055;1;0;0
2003;3;1;1.057;1;0;0
2003;3;2;1.085;1;0;0
2003;3;3;1.276;1;0;0
2003;3;4;1.232;1;0;0
2003;3;5;1.174;1;0;0
2003;3;6;1.233;1;0;0
2003;3;7;1.163;1;0;0
2003;3;8;1.099;1;0;0
2003;3;9;1.119;1;0;0
2003;3;10;1.605;1;0;0
2003;3;11;2.002;1;0;0
2003;3;12;3.979;1;0;0
2003;3;13;3.52;1;0;0
2003;3;14;2.257;1;0;0
2003;3;15;1.851;1;0;0
2003;3;16;1.625;1;0;0
2003;3;17;1.546;1;0;0
2003;3;18;1.574;1;0;0
2003;3;19;1.582;1;0;0
2003;3;20;1.658;1;0;0
2003;3;21;1.815;1;0;0
2003;3;22;1.628;1;0;0
2003;3;23;1.537;1;0;0
2003;3;24;1.734;1;0;0
2003;3;25;2.355;1;0;0
2003;3;26;3.016;1;0;0
2003;3;27;4.1;1;0;0
2003;3;28;4.593;1;0;0
2003;3;29;4.501;1;0;0
2003;3;30;5.024;1;0;0
2003;3;31;6.527;1;0;0
2003;4;1;5.118;1;0;0
2003;4;2;4.398;1;0;0
2003;4;3;3.613;1;0;0
2003;4;4;3.033;1;0;0
2003;4;5;2.717;1;0;0
2003;4;6;2.35;1;0;0
2003;4;7;2.076;1;0;0
2003;4;8;1.861;1;0;0
2003;4;9;1.754;1;0;0
2003;4;10;1.722;1;0;0
2003;4;11;1.648;1;0;0
2003;4;12;1.678;1;0;0
2003;4;13;2.232;1;0;0
2003;4;14;3.516;1;0;0
2003;4;15;5.465;1;0;0
2003;4;16;6.232;1;0;0
2003;4;17;5.71;1;0;0
2003;4;18;4.806;1;0;0
2003;4;19;4.261;1;0;0
2003;4;20;5.103;1;0;0
2003;4;21;5.528;1;0;0
2003;4;22;4.905;1;0;0
2003;4;23;4.716;1;0;0
2003;4;24;4.928;1;0;0
2003;4;25;4.468;1;0;0
2003;4;26;5.142;1;0;0
2003;4;27;6.845;1;0;0
2003;4;28;5.217;1;0;0
2003;4;29;5.461;1;0;0
2003;4;30;5.483;1;0;0
2003;5;1;5.128;1;0;0
2003;5;2;4.099;1;0;0
2003;5;3;4.263;1;0;0
2003;5;4;3.226;1;0;0
2003;5;5;3.067;1;0;0
2003;5;6;3.06;1;0;0
2003;5;7;2.862;1;0;0
2003;5;8;2.613;1;0;0
2003;5;9;3.342;1;0;0
