YYYY;MM;DD;qobs;ckhs;qceq;qcol
2000;6;21;2.717;1;0;0
2000;6;22;2.646;1;0;0
2000;6;23;2.895;1;0;0
2000;6;24;3.138;1;0;0
2000;6;25;4.438;1;0;0
2000;6;26;2.915;1;0;0
2000;6;27;2.66;1;0;0
2000;6;28;2.447;1;0;0
2000;6;29;2.389;1;0;0
2000;6;30;2.307;1;0;0
2000;7;1;2.323;1;0;0
2000;7;2;2.379;1;0;0
2000;7;3;2.262;1;0;0
2000;7;4;2.222;1;0;0
2000;7;5;2.316;1;0;0
2000;7;6;2.16;1;0;0
2000;7;7;2.394;1;0;0
2000;7;8;3.602;1;0;0
2000;7;9;2.583;1;0;0
2000;7;10;2.331;1;0;0
2000;7;11;4.819;1;0;0
2000;7;12;5.917;1;0;0
2000;7;13;4.474;1;0;0
2000;7;14;4.275;1;0;0
2000;7;15;4.593;1;0;0
2000;7;16;4.003;1;0;0
2000;7;17;3.688;1;0;0
2000;7;18;3.443;1;0;0
2000;7;19;3.299;1;0;0
2000;7;20;3.18;1;0;0
2000;7;21;2.984;1;0;0
2000;7;22;2.943;1;0;0
2000;7;23;3.73;1;0;0
2000;7;24;3.759;1;0;0
2000;7;25;3.175;1;0;0
2000;7;26;3.125;1;0;0
2000;7;27;3.088;1;0;0
2000;7;28;4.007;1;0;0
2000;7;29;3.925;1;0;0
2000;7;30;3.486;1;0;0
2000;7;31;3.289;1;0;0
2000;8;1;3.115;1;0;0
2000;8;2;3.01;1;0;0
2000;8;3;2.925;1;0;0
2000;8;4;4.185;1;0;0
2000;8;5;4.806;1;0;0
2000;8;6;9.114;1;0;0
2000;8;7;6.773;1;0;0
2000;8;8;5.859;1;0;0
2000;8;9;5.308;1;0;0
2000;8;10;4.804;1;0;0
2000;8;11;4.413;1;0;0
2000;8;12;4.568;1;0;0
2000;8;13;4.48;1;0;0
2000;8;14;4.042;1;0;0
2000;8;15;3.73;1;0;0
2000;8;16;3.585;1;0;0
2000;8;17;4.065;1;0;0
2000;8;18;4.207;1;0;0
2000;8;19;3.471;1;0;0
2000;8;20;3.236;1;0;0
