YYYY;MM;DD;qobs;ckhs;qceq;qcol
1981;1;1;1.047;1;0;0
1981;1;2;1.039;1;0;0
1981;1;3;1.182;1;0;0
1981;1;4;5.021;1;0;0
1981;1;5;3.342;1;0;0
1981;1;6;1.66;1;0;0
1981;1;7;1.656;1;0;0
1981;1;8;1.57;1;0;0
1981;1;9;1.57;1;0;0
1981;1;10;1.566;1;0;0
1981;1;11;1.48;1;0;0
1981;1;12;1.48;1;0;0
1981;1;13;1.48;1;0;0
1981;1;14;1.48;1;0;0
1981;1;15;1.477;1;0;0
1981;1;16;1.4;1;0;0
1981;1;17;1.397;1;0;0
1981;1;18;1.317;1;0;0
1981;1;19;1.227;1;0;0
1981;1;20;1.163;1;0;0
1981;1;21;0.996;1;0;0
1981;1;22;1.067;1;0;0
1981;1;23;1.022;1;0;0
1981;1;24;1.09;1;0;0
1981;1;25;1.09;1;0;0
1981;1;26;1.09;1;0;0
1981;1;27;1.09;1;0;0
1981;1;28;1.09;1;0;0
1981;1;29;1.09;1;0;0
1981;1;30;1.09;1;0;0
1981;1;31;1.096;1;0;0
1981;2;1;1.295;1;0;0
1981;2;2;1.692;1;0;0
1981;2;3;2.96;1;0;0
1981;2;4;3.097;1;0;0
1981;2;5;2.945;1;0;0
1981;2;6;2.358;1;0;0
1981;2;7;3.065;1;0;0
1981;2;8;9.376;1;0;0
1981;2;9;6.501;1;0;0
1981;2;10;4.896;1;0;0
1981;2;11;4.114;1;0;0
1981;2;12;3.147;1;0;0
1981;2;13;2.481;1;0;0
1981;2;14;2.262;1;0;0
1981;2;15;2.062;1;0;0
1981;2;16;1.904;1;0;0
1981;2;17;1.734;1;0;0
1981;2;18;1.655;1;0;0
1981;2;19;1.539;1;0;0
1981;2;20;1.509;1;0;0
1981;2;21;1.431;1;0;0
1981;2;22;1.403;1;0;0
1981;2;23;1.414;1;0;0
1981;2;24;1.353;1;0;0
1981;2;25;1.344;1;0;0
1981;2;26;1.262;1;0;0
1981;2;27;1.106;1;0;0
1981;2;28;1.159;1;0;0
1981;3;1;1.175;1;0;0
1981;3;2;1.203;1;0;0
1981;3;3;1.159;1;0;0
1981;3;4;1.208;1;0;0
1981;3;5;1.175;1;0;0
1981;3;6;1.144;1;0;0
1981;3;7;1.545;1;0;0
1981;3;8;2.081;1;0;0
1981;3;9;5.08;1;0;0
1981;3;10;7.593;1;0;0
1981;3;11;9.904;1;0;0
1981;3;12;10.516;1;0;0
1981;3;13;7.265;1;0;0
1981;3;14;5.59;1;0;0
1981;3;15;4.309;1;0;0
1981;3;16;4.94;1;0;0
1981;3;17;4.925;1;0;0
1981;3;18;4.095;1;0;0
1981;3;19;3.526;1;0;0
1981;3;20;3.144;1;0;0
1981;3;21;2.935;1;0;0
1981;3;22;2.727;1;0;0
1981;3;23;2.542;1;0;0
1981;3;24;2.723;1;0;0
1981;3;25;2.849;1;0;0
1981;3;26;2.795;1;0;0
1981;3;27;2.64;1;0;0
1981;3;28;2.422;1;0;0
1981;3;29;2.318;1;0;0
1981;3;30;2.262;1;0;0
1981;3;31;2.099;1;0;0
1981;4;1;1.956;1;0;0
1981;4;2;1.884;1;0;0
1981;4;3;1.813;1;0;0
1981;4;4;1.796;1;0;0
1981;4;5;1.738;1;0;0
1981;4;6;1.667;1;0;0
1981;4;7;1.58;1;0;0
1981;4;8;1.528;1;0;0
1981;4;9;1.542;1;0;0
1981;4;10;1.518;1;0;0
1981;4;11;1.418;1;0;0
1981;4;12;1.387;1;0;0
1981;4;13;1.341;1;0;0
1981;4;14;1.327;1;0;0
1981;4;15;1.236;1;0;0
