YYYY;MM;DD;hh;mm
2015;12;15;23;0
2015;12;16;0;0
2015;12;16;1;0
2015;12;16;2;0
2015;12;16;3;0
2015;12;16;4;0
2015;12;16;5;0
2015;12;16;6;0
2015;12;16;7;0
2015;12;16;8;0
2015;12;16;9;0
2015;12;16;10;0
2015;12;16;11;0
2015;12;16;12;0
2015;12;16;13;0
2015;12;16;14;0
2015;12;16;15;0
2015;12;16;16;0
2015;12;16;17;0
2015;12;16;18;0
2015;12;16;19;0
2015;12;16;20;0
2015;12;16;21;0
2016;1;18;23;0
2016;1;19;0;0
2016;1;19;1;0
2016;1;19;2;0
2016;1;19;3;0
2016;1;19;13;0
2016;1;19;14;0
2016;1;19;15;0
2016;1;19;16;0
2016;1;19;17;0
2016;1;19;18;0
2016;1;19;19;0
2016;1;19;20;0
2016;1;19;21;0
