YYYY;MM;DD;hh;mm
2017;9;16;12;0
2017;9;16;13;0
2017;9;16;14;0
2017;9;16;15;0
2017;9;16;16;0
2017;9;16;17;0
2017;9;16;18;0
2017;9;16;19;0
2017;9;16;20;0
2017;9;16;21;0
2017;9;16;22;0
2017;9;16;23;0
2017;9;17;0;0
2017;9;17;1;0
2017;9;17;2;0
2017;9;17;3;0
2017;9;17;4;0
2017;9;17;5;0
2017;9;17;6;0
2017;9;17;7;0
2017;9;17;8;0
2017;9;17;9;0
2017;9;17;10;0
2017;9;17;11;0
2017;9;17;12;0
2017;9;17;13;0
2017;9;17;14;0
2017;9;17;15;0
2017;9;17;16;0
2017;9;17;17;0
2017;9;17;18;0
2017;9;17;19;0
2017;9;17;20;0
2017;9;17;21;0
2017;9;17;22;0
2017;9;17;23;0
2017;9;18;0;0
2017;9;18;1;0
