YYYY;MM;DD;hh;mm
2015;8;20;9;0
2015;8;20;10;0
2015;8;20;11;0
2015;8;20;12;0
2015;8;20;13;0
2015;8;20;14;0
2015;8;20;15;0
2015;8;20;16;0
2015;8;20;17;0
2015;8;20;18;0
2015;8;20;19;0
2015;8;20;20;0
2015;8;20;21;0
2015;12;15;23;0
2015;12;16;0;0
2015;12;16;1;0
2015;12;16;2;0
2015;12;16;3;0
2015;12;16;4;0
2015;12;16;5;0
2015;12;16;6;0
2015;12;16;7;0
2015;12;16;8;0
2015;12;16;9;0
2015;12;16;10;0
2015;12;16;11;0
2015;12;16;12;0
2015;12;16;13;0
2015;12;16;14;0
2015;12;16;15;0
2015;12;16;16;0
2015;12;16;17;0
2015;12;16;18;0
2015;12;16;19;0
2015;12;16;20;0
2015;12;16;21;0
2016;1;12;23;0
2016;1;13;0;0
2016;1;13;1;0
2016;1;13;2;0
2016;1;13;3;0
2016;1;13;4;0
2016;1;13;5;0
2016;1;13;6;0
2016;1;13;7;0
2016;1;13;8;0
2016;1;13;9;0
2016;1;13;10;0
2016;1;13;11;0
2016;1;13;14;0
2016;1;13;15;0
2016;1;13;16;0
2016;1;13;17;0
2016;1;13;18;0
2016;1;13;19;0
2016;1;13;20;0
2016;1;13;21;0
2017;8;16;9;0
2017;8;16;10;0
2017;8;16;11;0
2017;8;16;12;0
2017;8;16;13;0
2017;8;16;14;0
2017;8;16;15;0
2017;8;16;16;0
2017;8;16;17;0
2017;8;16;18;0
2017;8;16;19;0
2017;8;16;20;0
2017;8;16;21;0
2017;8;16;22;0
2017;8;16;23;0
2017;8;17;0;0
2017;8;17;1;0
2017;8;17;2;0
2017;8;17;3;0
2017;8;17;4;0
2017;8;17;5;0
2017;8;17;6;0
2017;8;17;7;0
