YYYY;MM;DD;hh;mm
2015;9;13;23;0
2015;9;14;0;0
2015;9;14;1;0
2015;9;14;2;0
2015;9;14;3;0
2015;9;14;4;0
2015;9;14;5;0
2015;9;14;6;0
2015;9;14;7;0
2015;9;14;8;0
2015;9;14;9;0
2015;9;14;12;0
2015;9;14;13;0
2015;9;14;14;0
2015;9;14;15;0
2015;9;14;16;0
2015;9;14;17;0
2015;9;14;18;0
2015;9;14;19;0
2015;9;14;20;0
2015;9;14;21;0
2015;10;4;23;0
2015;10;5;0;0
2015;10;5;1;0
2015;10;5;2;0
2015;10;5;3;0
2015;10;5;4;0
2015;10;5;5;0
2015;10;5;6;0
2015;10;5;7;0
2015;10;5;8;0
2015;10;5;9;0
2015;10;5;10;0
2015;10;5;11;0
2015;10;5;14;0
2015;10;5;15;0
2015;10;5;16;0
2015;10;5;17;0
2015;10;5;18;0
2015;10;5;19;0
2015;10;5;20;0
2015;10;5;21;0
2015;11;9;23;0
2015;11;10;0;0
2015;11;10;1;0
2015;11;10;9;0
2015;11;10;10;0
2015;11;10;11;0
2015;11;10;12;0
2015;11;10;13;0
2015;11;10;14;0
2015;11;10;15;0
2015;11;10;16;0
2015;11;10;17;0
2015;11;10;18;0
2015;11;10;19;0
2015;11;10;20;0
2015;11;10;21;0
2015;11;10;22;0
2015;11;10;23;0
2015;11;11;0;0
2015;11;11;1;0
2015;11;11;2;0
2015;11;11;3;0
2015;11;11;4;0
2015;11;11;7;0
2015;11;11;8;0
2015;11;11;9;0
2015;11;11;10;0
2015;11;11;11;0
2015;11;11;12;0
2015;11;11;13;0
2015;11;11;14;0
2015;11;11;15;0
2015;11;11;16;0
2015;11;11;17;0
2015;11;11;18;0
2015;11;11;19;0
2015;11;11;20;0
2015;11;11;21;0
2015;11;16;23;0
2015;11;17;0;0
2015;11;17;1;0
2015;11;17;2;0
2015;11;17;3;0
2015;11;17;4;0
2015;11;17;5;0
2015;11;17;6;0
2015;11;17;7;0
2015;11;17;9;0
2015;11;17;10;0
2015;11;17;11;0
2015;11;17;12;0
2015;11;17;13;0
2015;11;17;14;0
2015;11;17;15;0
2015;11;17;16;0
2015;11;17;17;0
2015;11;17;18;0
2015;11;17;19;0
2015;11;17;20;0
2015;11;17;21;0
2015;12;6;23;0
2015;12;7;0;0
2015;12;7;1;0
2015;12;7;2;0
2015;12;7;3;0
2015;12;7;4;0
2015;12;7;5;0
2015;12;7;6;0
2015;12;7;10;0
2015;12;7;11;0
2015;12;7;12;0
2015;12;7;13;0
2015;12;7;14;0
2015;12;7;15;0
2015;12;7;16;0
2015;12;7;17;0
2015;12;7;18;0
2015;12;7;19;0
2015;12;7;20;0
2015;12;7;21;0
2015;12;15;23;0
2015;12;16;0;0
2015;12;16;1;0
2015;12;16;2;0
2015;12;16;3;0
2015;12;16;4;0
2015;12;16;5;0
2015;12;16;6;0
2015;12;16;7;0
2015;12;16;8;0
2015;12;16;9;0
2015;12;16;10;0
2015;12;16;11;0
2015;12;16;12;0
2015;12;16;13;0
2015;12;16;14;0
2015;12;16;15;0
2015;12;16;16;0
2015;12;16;17;0
2015;12;16;18;0
2015;12;16;19;0
2015;12;16;20;0
2015;12;16;21;0
2016;1;11;23;0
2016;1;12;0;0
2016;1;12;1;0
2016;1;12;2;0
2016;1;12;3;0
2016;1;12;4;0
2016;1;12;5;0
2016;1;12;6;0
2016;1;12;7;0
2016;1;12;8;0
2016;1;12;11;0
2016;1;12;12;0
2016;1;12;13;0
2016;1;12;14;0
2016;1;12;15;0
2016;1;12;16;0
2016;1;12;17;0
2016;1;12;18;0
2016;1;12;19;0
2016;1;12;20;0
2016;1;12;21;0
2016;1;18;23;0
2016;1;19;0;0
2016;1;19;1;0
2016;1;19;2;0
2016;1;19;3;0
2016;1;19;4;0
2016;1;19;5;0
2016;1;19;6;0
2016;1;19;7;0
2016;1;19;8;0
2016;1;19;9;0
2016;1;19;10;0
2016;1;19;11;0
2016;1;19;12;0
2016;1;19;14;0
2016;1;19;15;0
2016;1;19;16;0
2016;1;19;17;0
2016;1;19;18;0
2016;1;19;19;0
2016;1;19;20;0
2016;1;19;21;0
2016;2;14;23;0
2016;2;15;0;0
2016;2;15;1;0
2016;2;15;2;0
2016;2;15;3;0
2016;2;15;4;0
2016;2;15;5;0
2016;2;15;6;0
2016;2;15;7;0
2016;2;15;8;0
2016;2;15;9;0
2016;2;15;12;0
2016;2;15;13;0
2016;2;15;14;0
2016;2;15;15;0
2016;2;15;16;0
2016;2;15;17;0
2016;2;15;18;0
2016;2;15;19;0
2016;2;15;20;0
2016;2;15;21;0
2016;6;8;10;0
2016;6;8;11;0
2016;6;8;12;0
2016;6;8;13;0
2016;6;8;14;0
2016;6;8;15;0
2016;6;8;16;0
2016;6;8;17;0
2016;6;8;18;0
2016;6;8;19;0
2016;6;8;20;0
2016;6;8;21;0
