YYYY;MM;DD;hh;mm
2012;12;23;20;0
2012;12;23;21;0
2012;12;23;22;0
2012;12;23;23;0
2012;12;24;0;0
2012;12;24;1;0
2012;12;24;2;0
2012;12;24;3;0
2012;12;24;4;0
2012;12;24;5;0
2012;12;24;6;0
2012;12;24;7;0
2012;12;24;8;0
2012;12;24;9;0
2012;12;24;10;0
2012;12;24;11;0
2012;12;24;12;0
2012;12;24;13;0
2012;12;24;14;0
2012;12;24;15;0
2012;12;24;16;0
2012;12;24;17;0
2015;7;25;16;0
2015;7;25;17;0
2015;7;25;18;0
2015;7;25;19;0
2015;7;25;20;0
2015;7;25;21;0
2015;7;25;22;0
2015;7;25;23;0
2015;7;26;0;0
2015;7;26;1;0
2015;7;26;2;0
2015;7;26;3;0
2015;7;26;4;0
2015;7;26;5;0
2015;7;26;6;0
2015;7;26;7;0
2015;7;26;8;0
2015;7;26;9;0
2015;7;26;10;0
2015;7;26;11;0
2015;7;26;12;0
2015;7;26;13;0
2015;7;26;14;0
2015;7;26;15;0
2015;7;26;16;0
2015;7;26;17;0
2015;7;26;18;0
2015;7;26;19;0
2015;7;26;20;0
