YYYY;MM;DD;hh;mm
2015;12;15;20;0
2015;12;15;21;0
2015;12;15;22;0
2015;12;15;23;0
2015;12;16;0;0
2015;12;16;1;0
2015;12;16;2;0
2015;12;16;3;0
2015;12;16;4;0
2015;12;16;5;0
2015;12;16;6;0
2015;12;16;7;0
2015;12;16;8;0
2015;12;16;9;0
2015;12;16;10;0
2015;12;16;11;0
2015;12;16;12;0
2015;12;16;13;0
2015;12;16;14;0
2015;12;16;15;0
2015;12;16;16;0
2015;12;16;17;0
2015;12;16;18;0
2015;12;16;19;0
2015;12;16;20;0
2015;12;16;21;0
2016;6;8;10;0
2016;6;8;11;0
2016;6;8;12;0
2016;6;8;13;0
2016;6;8;14;0
2016;6;8;15;0
2016;6;8;16;0
2016;6;8;17;0
2016;6;8;18;0
2016;6;8;19;0
2016;6;8;20;0
2016;6;8;21;0
2017;11;28;11;0
2017;11;28;12;0
2017;11;28;13;0
2017;11;28;14;0
2017;11;28;15;0
2017;11;28;16;0
2017;11;28;17;0
2017;11;28;18;0
2017;11;28;19;0
2017;11;28;20;0
2017;11;28;21;0
2017;11;28;22;0
2017;11;28;23;0
2017;11;29;0;0
2017;11;29;1;0
2017;11;29;2;0
2017;11;29;3;0
2017;11;29;4;0
2017;11;29;5;0
