YYYY;MM;DD;DOY;2m_temp_max;2m_temp_mean;2m_temp_min;2m_dp_temp_max;2m_dp_temp_mean;2m_dp_temp_min;10m_wind_u;10m_wind_v;fcst_alb;lai_high_veg;lai_low_veg;swe;surf_net_solar_rad_max;surf_net_solar_rad_mean;surf_net_therm_rad_max;surf_net_therm_rad_mean;surf_press;total_et;prec;volsw_123;volsw_4
1981;1;1;1;3.3;0.1;-4.4;0.2;-3.2;-7;5;-0.2;0.32;1.1;2.6;51.14;135;21;63;37;95732;0.69;6.03;0.4;0.41
1981;1;2;2;1.6;-0.2;-1.8;-0.6;-2.8;-5.1;4.4;0;0.34;1.1;2.6;56.96;66;13;53;25;95803;0.48;10.33;0.4;0.41
1981;1;3;3;6;4.2;2;2.6;0.8;-0.5;5.8;0.7;0.35;1.1;2.6;60.71;81;15;27;17;94511;0.51;16.7;0.41;0.41
1981;1;4;4;4.1;1.9;-0.3;2.1;-0.1;-2.2;4.2;-0.2;0.3;1.1;2.6;53.44;119;23;62;39;94208;0.44;7.2;0.42;0.41
1981;1;5;5;-0.3;-2.1;-3.1;-2.3;-5.6;-7.3;4.7;-1.2;0.33;1.1;2.6;58.29;111;23;71;42;94879;0.79;5.85;0.42;0.41
1981;1;6;6;-2.2;-3.5;-5.8;-4.9;-5.8;-7.4;2.2;-0.5;0.36;1.1;2.6;63.67;99;20;44;32;95176;0.21;6.7;0.41;0.41
1981;1;7;7;-4.5;-7.6;-10.6;-6.2;-10.5;-12.9;2.3;-1.1;0.38;1;2.6;69.82;149;30;68;41;96174;0.33;4.19;0.41;0.41
1981;1;8;8;-7.8;-10.7;-16;-12;-13.4;-17.7;1.2;-0.2;0.38;1;2.6;72.34;105;23;71;37;97478;0.12;1.92;0.41;0.41
1981;1;9;9;-7.9;-13.3;-17;-15.1;-17.1;-19.2;0.3;0.4;0.39;1;2.6;72.98;191;39;94;48;97166;0.09;0.02;0.41;0.41
1981;1;10;10;-2.1;-8.5;-15.2;-7.4;-12.1;-17.9;-0.4;0.3;0.38;1;2.6;72.93;181;36;75;28;95731;0.07;0;0.4;0.41
1981;1;11;11;-3.2;-6.7;-10.3;-6;-8.9;-11.9;-0.8;0.3;0.38;1;2.6;72.91;173;34;66;37;96197;0.09;0.08;0.4;0.41
1981;1;12;12;-2.1;-7.4;-11.2;-6.3;-9.7;-12.4;-0.3;0.5;0.38;1;2.6;72.91;142;30;61;43;95597;0.05;0;0.4;0.41
1981;1;13;13;-2;-6.3;-13.3;-4.4;-9;-15.4;1.1;0.4;0.38;1;2.5;73.09;97;22;49;24;95019;0.07;1.2;0.4;0.41
1981;1;14;14;-3.2;-5.1;-8.6;-5.9;-8.6;-11.8;2;0.4;0.38;1;2.5;74.22;159;32;85;42;95153;0.23;0.41;0.4;0.41
1981;1;15;15;1;-2.8;-6.2;-1.4;-6.1;-10.4;2.3;0.4;0.39;0.9;2.5;78.06;106;21;74;30;93177;0.26;8.2;0.39;0.41
1981;1;16;16;-1.9;-3.5;-7;-5.2;-6.2;-9.5;3.3;0.1;0.39;0.9;2.5;83.74;125;25;79;46;94600;0.31;3.36;0.39;0.41
1981;1;17;17;3.1;-2.9;-9.5;-1.1;-5.9;-11.8;0.6;1.3;0.39;0.9;2.5;86.68;178;36;76;43;94561;0.1;3.33;0.39;0.41
1981;1;18;18;1.7;-0.4;-2.8;-0.7;-1.9;-3.9;1.9;0.5;0.39;0.9;2.5;90.94;141;27;54;28;95172;0.08;6.73;0.39;0.41
1981;1;19;19;0.9;-0.6;-2.5;-0.9;-2.5;-4.2;1.3;0.8;0.39;0.9;2.5;95.98;110;20;39;24;95178;0.26;11.48;0.39;0.41
1981;1;20;20;0.3;-1.3;-3.1;-1.1;-3.4;-4.7;2.9;-0.4;0.39;0.9;2.5;107.51;179;36;77;45;94868;0.45;6.66;0.39;0.41
1981;1;21;21;-1.2;-2.6;-4.1;-3.4;-4.3;-5;2.4;-0.6;0.39;0.9;2.5;114.05;83;16;38;21;96486;0.2;6.29;0.39;0.41
1981;1;22;22;-2.2;-4.9;-7.5;-5.6;-6.9;-9.2;1;-0.3;0.39;0.9;2.5;117.47;135;28;60;36;97120;0.12;0.84;0.39;0.41
1981;1;23;23;-2.6;-8.4;-13.9;-7.5;-11.1;-15.9;0.2;0.2;0.39;0.9;2.5;117.71;221;49;96;60;97273;0.06;0;0.38;0.41
1981;1;24;24;-2.1;-9.7;-15.5;-9.3;-13.6;-17.7;0.6;0.2;0.39;0.9;2.5;117.7;208;48;86;52;96697;0.08;0;0.38;0.41
1981;1;25;25;-0.9;-7.2;-14.1;-2.8;-10.3;-16.6;1.5;0.7;0.39;0.9;2.5;117.88;97;19;47;15;96361;0.03;2.26;0.38;0.41
1981;1;26;26;0.2;-1.7;-7.8;-1.4;-3.9;-9.4;3.1;-0.9;0.39;0.9;2.5;123.87;165;35;89;48;96749;0.25;6.38;0.38;0.41
1981;1;27;27;-3.8;-8.8;-12.2;-8.5;-11.3;-13.5;1.4;0;0.39;0.9;2.5;126.02;217;48;90;68;97798;0.1;0;0.38;0.41
1981;1;28;28;-3.8;-9.3;-14.8;-9.5;-12.9;-17;0.5;0.4;0.39;0.9;2.5;126.01;196;43;90;55;97974;0.04;0.03;0.38;0.41
1981;1;29;29;-2.9;-10.2;-16.7;-11;-14.9;-18.9;-0.2;0.2;0.39;0.9;2.5;126.01;251;58;107;67;97688;0.08;0;0.38;0.41
1981;1;30;30;-2.3;-10.3;-16.4;-9.5;-14.4;-18.7;0.7;0.2;0.38;0.9;2.5;125.97;249;58;97;58;97557;0.06;0;0.38;0.41
1981;1;31;31;0.3;-7.6;-13.9;-7.3;-11.7;-16.4;1;0.4;0.38;0.9;2.5;125.96;199;45;79;41;97720;0.08;0;0.37;0.41
1981;2;1;32;2.1;-5.2;-10.9;-3.8;-8.6;-13;1.2;0.4;0.38;0.9;2.5;125.93;251;59;97;59;97671;0.09;0;0.37;0.41
1981;2;2;33;3.4;-3.5;-9.2;-2;-6.5;-10.9;1.3;0.5;0.38;0.9;2.5;125.84;254;60;98;62;97557;0.08;0;0.37;0.41
1981;2;3;34;5.3;-0.6;-6.2;-0.8;-4.3;-8.5;1.1;0.7;0.38;0.9;2.5;125.61;219;51;81;44;95727;0.12;2.13;0.37;0.41
1981;2;4;35;3.2;1.4;0;0.5;-0.4;-1.5;1.9;0.7;0.37;0.9;2.5;127.13;117;22;44;18;93819;0.08;9.7;0.38;0.41
1981;2;5;36;0.3;-1;-2.4;-1.6;-3.2;-4.8;3.3;-0.2;0.37;0.9;2.5;129.01;189;44;80;46;94566;0.61;3.78;0.38;0.41
1981;2;6;37;1.6;-0.8;-4;-0.1;-3.2;-5.5;2.3;0.5;0.37;0.9;2.5;131.65;174;41;69;34;95870;0.33;3.87;0.38;0.4
1981;2;7;38;5.1;4;1.9;3.2;1.9;0.1;3.8;0.4;0.37;0.9;2.5;131.05;61;12;9;5;96454;-0.36;7.37;0.38;0.4
1981;2;8;39;6.6;5;3.2;4.3;3.3;2;3.3;0.2;0.34;0.9;2.5;115.04;73;15;38;9;96493;-0.6;0.81;0.4;0.4
1981;2;9;40;5.7;1.8;-1.9;2.2;0.2;-2.8;-0.1;0.3;0.33;0.9;2.5;105.02;270;66;101;60;95916;0;0;0.41;0.41
1981;2;10;41;5.6;1.6;-2.8;2.8;-0.6;-4;2.2;0.5;0.32;0.9;2.5;101.06;175;30;66;27;95657;0.17;2.77;0.41;0.41
1981;2;11;42;1.6;-1.1;-5.4;-3.7;-5.1;-7.7;3;0;0.31;0.9;2.5;99.17;275;64;93;66;96174;0.81;0.7;0.41;0.41
1981;2;12;43;-0.8;-4.9;-7.9;-6.4;-8.9;-11.6;1.5;0.2;0.32;0.9;2.5;100.06;291;69;102;69;95741;0.32;1.61;0.41;0.41
1981;2;13;44;-1.2;-5.5;-9.1;-7.9;-9.9;-12.1;1.8;0.2;0.32;0.9;2.5;100.73;257;55;64;47;96068;0.32;0.89;0.4;0.41
1981;2;14;45;-1.5;-4.7;-7.4;-7.6;-9.1;-9.9;1.3;-0.4;0.33;0.9;2.5;101.86;185;43;73;37;96264;0.29;1.21;0.4;0.41
1981;2;15;46;-0.3;-4.7;-9.2;-7.2;-9.5;-12.4;1.5;0.2;0.33;0.9;2.5;102.13;270;67;85;58;96152;0.3;0;0.4;0.41
1981;2;16;47;0.8;-4.1;-9.5;-4.6;-8.1;-12.3;-0.7;0.2;0.32;0.9;2.5;101.72;337;80;112;60;96322;0.23;0.13;0.4;0.41
1981;2;17;48;-0.4;-3.6;-7;-5.7;-7;-8.2;-1.4;0.3;0.32;1;2.5;101.69;199;55;88;45;96300;0.27;0.45;0.4;0.41
1981;2;18;49;-1.7;-3.9;-5.9;-5.7;-6.9;-7.9;-0.7;-0.1;0.34;1;2.5;102.73;148;37;37;24;95681;0.2;2.81;0.4;0.41
1981;2;19;50;-1.9;-4.3;-7.1;-6.3;-7.6;-9.1;-0.8;0;0.35;1;2.6;104.38;227;55;76;41;95432;0.25;0.31;0.39;0.41
1981;2;20;51;0.1;-3.2;-6.2;-5.4;-7.2;-8.9;-0.1;0.3;0.35;1;2.6;104.44;251;58;82;45;95526;0.27;0.44;0.39;0.41
1981;2;21;52;1;-4;-9.2;-5.2;-8;-11.5;-0.8;0.1;0.35;1;2.6;104;303;76;96;58;95801;0.29;0;0.39;0.41
1981;2;22;53;0.7;-3.4;-7.8;-3.5;-6.5;-9.7;-0.3;0.3;0.34;1;2.6;103.48;254;59;79;47;95601;0.15;0.25;0.39;0.41
1981;2;23;54;3.2;-1.4;-6.1;-0.1;-3.6;-7.9;-0.1;0;0.34;1;2.6;103.18;284;60;63;26;95422;0.09;2.1;0.39;0.41
1981;2;24;55;1;-0.5;-1.8;-0.4;-1.6;-2.5;0.2;-0.3;0.36;1;2.6;106.2;143;32;33;18;95892;0.13;4.5;0.39;0.41
1981;2;25;56;4.5;0;-3.4;-1.4;-3;-5.5;-2.1;-0.3;0.35;1;2.6;107.56;226;62;100;52;96459;0.47;0.76;0.39;0.41
1981;2;26;57;2.7;-2.8;-8.5;-6;-7.5;-10.4;-2.5;0;0.34;1;2.6;106.47;374;100;121;92;96519;0.76;0;0.39;0.41
