YYYY;MM;DD;DOY;2m_temp_max;2m_temp_mean;2m_temp_min;2m_dp_temp_max;2m_dp_temp_mean;2m_dp_temp_min;10m_wind_u;10m_wind_v;fcst_alb;lai_high_veg;lai_low_veg;swe;surf_net_solar_rad_max;surf_net_solar_rad_mean;surf_net_therm_rad_max;surf_net_therm_rad_mean;surf_press;total_et;prec;volsw_123;volsw_4
1981;1;1;1;2.6;-0.1;-3.9;-0.1;-3.3;-7.1;4.9;-0.1;0.35;1.3;1.4;76.62;120;18;62;35;94637;0.49;7.83;0.4;0.41
1981;1;2;2;1.3;-0.6;-2.3;-0.9;-2.9;-4.9;4.3;0.2;0.37;1.3;1.4;86.02;50;11;53;20;94676;0.39;13.16;0.4;0.41
1981;1;3;3;5.2;3.7;1.4;1.9;0.1;-1;5.4;1;0.37;1.2;1.4;95.03;82;14;30;15;93427;0.3;16.29;0.41;0.41
1981;1;4;4;3.5;1.2;-0.8;1.7;-0.3;-2.4;4.2;0;0.36;1.2;1.4;88.38;90;17;59;31;93087;0.16;8.18;0.42;0.41
1981;1;5;5;-1.1;-2.8;-3.7;-3.2;-6;-7.8;4.5;-1.2;0.37;1.2;1.4;95.56;110;21;69;36;93786;0.76;8.61;0.42;0.41
1981;1;6;6;-2.8;-3.9;-5.4;-4.8;-5.7;-6.7;1.8;-0.4;0.38;1.2;1.4;103.21;88;17;43;27;93986;0.22;8.64;0.42;0.41
1981;1;7;7;-5.2;-7.9;-10;-6.7;-10.4;-13.2;2.2;-1.1;0.38;1.2;1.4;110.36;150;31;64;36;94979;0.33;4.55;0.41;0.41
1981;1;8;8;-9.4;-11.2;-15.7;-11.7;-13.6;-17;1;0.2;0.38;1.2;1.4;113.34;165;30;83;47;96219;0.11;1.62;0.41;0.41
1981;1;9;9;-7.5;-13.6;-18.2;-13.1;-16.7;-20.1;-0.3;1.1;0.38;1.2;1.4;113.76;193;39;87;49;95857;0.05;0;0.41;0.41
1981;1;10;10;-2.7;-8.2;-14.9;-7;-11.2;-17.2;-0.8;0.6;0.38;1.1;1.4;113.77;189;38;76;29;94455;0.03;0.05;0.4;0.41
1981;1;11;11;-4;-7.3;-10.9;-6.8;-8.9;-12.1;-1.1;0.3;0.38;1.1;1.4;113.84;184;37;77;44;94923;0.03;0.02;0.4;0.41
1981;1;12;12;-2.3;-8.4;-12.6;-6.9;-10.4;-13.7;-0.3;1;0.38;1.1;1.4;113.87;159;34;83;47;94346;0.03;0;0.4;0.41
