ID;area_calc;elev_mean;elev_med;elev_std;elev_ran;slope_mean;mvert_dist;mvert_ang;elon_ratio;strm_dens;p_mean;et0_mean;eta_mean;arid_1;arid_2;p_season;frac_snow;hi_prec_fr;hi_prec_du;hi_prec_ti;lo_prec_fr;lo_prec_du;lo_prec_ti;lc_dom;agr_fra;bare_fra;forest_fra;glac_fra;lake_fra;urban_fra;lai_max;lai_diff;ndvi_max;ndvi_min;gvf_max;gvf_diff;bedrk_dep;root_dep;soil_poros;soil_condu;soil_tawc;sand_fra;silt_fra;clay_fra;grav_fra;oc_fra;gc_dom;gc_ig_fra;gc_mt_fra;gc_pa_fra;gc_pb_fra;gc_pi_fra;gc_py_fra;gc_sc_fra;gc_sm_fra;gc_ss_fra;gc_su_fra;gc_va_fra;gc_vb_fra;gc_wb_fra;geol_perme;geol_poros;NEXTDOWNID
228;218.254;621;486;268;1324;174;35.3;9;0.472;0.57;4.06;2.23;1.61;0.55;0.63;0.29;0.15;10.25;1.18;jja;170.55;2.9;djf;313;0.272;0.022;0.428;0;0.115;0.14;2.79;2.52;0.66;0.18;0.77;0.63;7.08;0.59;0.48;0.122;0.09;0.394;0.373;0.233;0.102;0.012;sm;0;0;0;0;0;0;0.336;0.546;0;0;0;0;0.118;-12.3;0.15;234
229;44.052;436;434;37;202;64;10.9;104;0.689;0.43;3.27;2.27;1.57;0.69;0.74;0.24;0.07;10.9;1.21;jja;186.1;3.13;djf;211;0.835;0;0.13;0;0;0.035;2.27;1.93;0.68;0.22;0.81;0.63;9.41;0.53;0.48;0.281;0.09;0.42;0.322;0.259;0.069;0.008;sm;0;0;0;0;0;0;0;1;0;0;0;0;0;-15;0.19;234
230;170.218;1010;929;353;1978;367;17.1;345;0.862;0.7;4.78;2.13;1.58;0.45;0.58;0.33;0.26;8.15;1.23;jja;154.9;2.7;djf;313;0.018;0.136;0.721;0;0.006;0.001;3.89;3.7;0.71;0.15;0.8;0.73;0.76;0.45;0.49;0.033;0.07;0.362;0.42;0.218;0.134;0.018;sc;0;0;0;0;0;0;1;0;0;0;0;0;0;-11.8;0.06;231
231;143.657;797;755;235;1276;271;16.2;348;0.834;0.84;4.17;2.22;1.63;0.53;0.67;0.31;0.15;10.7;1.22;jja;169.05;2.82;djf;312;0.18;0.007;0.744;0;0;0.054;4.51;4.17;0.78;0.25;0.89;0.69;1.09;0.5;0.48;0.075;0.08;0.375;0.42;0.205;0.111;0.016;sc;0;0;0;0;0;0;0.601;0.399;0;0;0;0;0;-12;0.112;233
232;69.926;610;589;166;1081;128;19;13;0.497;0.66;3.89;2.24;1.57;0.58;0.68;0.28;0.12;10.95;1.2;jja;176.25;2.94;djf;312;0.418;0.001;0.489;0;0;0.068;3.93;3.54;0.77;0.26;0.9;0.67;4.89;0.47;0.48;0.12;0.08;0.418;0.341;0.241;0.061;0.009;sm;0;0;0;0;0;0;0.166;0.834;0;0;0;0;0;-12.6;0.168;233
233;50.942;484;454;105;715;76;17.8;326;0.452;0.52;3.69;2.26;1.55;0.61;0.75;0.28;0.1;11.1;1.21;jja;178.95;2.99;djf;211;0.634;0;0.313;0;0;0.046;3.05;2.73;0.73;0.23;0.86;0.67;9.31;0.87;0.47;0.174;0.13;0.395;0.387;0.218;0.081;0.006;sm;0;0;0;0;0;0;0.074;0.926;0;0;0;0;0;-12.9;0.18;234
234;170.173;411;412;48;346;48;22.7;347;0.649;0.55;3.36;2.28;1.56;0.68;0.78;0.26;0.08;11.1;1.19;jja;183.75;3.05;djf;211;0.758;0;0.16;0;0.002;0.079;2.19;1.9;0.68;0.21;0.81;0.65;16.1;0.7;0.48;0.265;0.11;0.411;0.343;0.246;0.078;0.007;sm;0;0;0;0;0;0;0;1;0;0;0;0;0;-15;0.19;314
235;68.022;434;423;52;323;42;21.7;349;0.428;0.4;3.36;2.29;1.56;0.68;0.82;0.27;0.09;11.1;1.19;jja;183.2;3.05;djf;211;0.894;0;0.084;0;0;0.023;2.13;1.86;0.68;0.19;0.8;0.67;14.44;0.62;0.48;0.28;0.1;0.426;0.312;0.262;0.063;0.006;sm;0;0;0;0;0;0;0;1;0;0;0;0;0;-15;0.19;314
236;38.64;655;600;225;1169;212;7.8;350;0.9;0.72;4.04;2.25;1.6;0.56;0.76;0.32;0.13;11.15;1.21;jja;172.5;2.84;djf;313;0.334;0;0.527;0;0;0.131;4.02;3.74;0.75;0.23;0.91;0.71;1.19;0.71;0.48;0.092;0.1;0.395;0.392;0.213;0.114;0.013;sc;0;0;0;0;0;0;0.521;0.479;0;0;0;0;0;-12.1;0.122;237
237;106.414;484;447;113;732;91;17.3;11;0.672;0.45;3.7;2.28;1.56;0.62;0.83;0.3;0.11;11.1;1.19;jja;178.1;2.94;djf;211;0.747;0;0.181;0;0;0.073;2.99;2.65;0.73;0.23;0.88;0.68;4.31;0.72;0.48;0.223;0.11;0.425;0.323;0.252;0.071;0.007;sm;0;0;0;0;0;0;0.055;0.945;0;0;0;0;0;-13.1;0.183;239
238;74.849;427;415;57;439;58;13.4;1;0.728;0.49;3.43;2.31;1.56;0.67;0.91;0.3;0.1;11.3;1.17;jja;183.45;3.02;djf;211;0.8;0;0.119;0;0;0.07;2.45;2.15;0.69;0.21;0.83;0.66;12.62;0.52;0.48;0.304;0.09;0.429;0.313;0.258;0.057;0.007;sm;0;0;0;0;0;0;0.062;0.938;0;0;0;0;0;-13;0.182;239
239;143.139;357;360;38;211;49;21.4;22;0.629;0.58;2.93;2.32;1.63;0.79;0.96;0.26;0.08;12.05;1.18;jja;192.2;3.16;djf;211;0.786;0;0.114;0;0;0.084;2.21;1.93;0.67;0.2;0.8;0.65;13.8;0.82;0.48;0.394;0.12;0.422;0.323;0.255;0.08;0.006;sm;0;0;0;0;0;0;0.009;0.991;0;0;0;0;0;-13.9;0.189;314
240;85.576;341;345;33;163;48;17.9;18;0.583;0.5;2.68;2.32;1.71;0.87;1.03;0.24;0.06;13;1.19;jja;199.75;3.29;son;211;0.89;0;0.065;0;0;0.045;2.24;1.98;0.67;0.18;0.8;0.67;19.26;0.54;0.48;0.383;0.09;0.431;0.307;0.262;0.062;0.007;sm;0;0;0;0;0;0;0;1;0;0;0;0;0;-15;0.19;314
241;106.654;627;655;154;617;100;17.6;155;0.661;0.45;2.6;2.23;1.59;0.86;0.88;0.32;0.1;13.55;1.18;jja;201.45;3.26;djf;312;0.57;0;0.347;0;0;0.083;3.26;3.02;0.73;0.19;0.91;0.77;1.25;0.92;0.45;0.799;0.12;0.542;0.281;0.177;0.115;0.008;pa;0;0.41;0.517;0;0;0;0;0.073;0;0;0;0;0;-14.2;0.023;243
242;75.989;609;604;104;580;130;16.2;155;0.607;0.44;2.65;2.22;1.58;0.84;0.92;0.35;0.1;13.6;1.18;jja;199.7;3.25;djf;312;0.536;0;0.417;0;0;0.047;3.45;3.17;0.74;0.21;0.89;0.72;1.16;0.96;0.45;0.892;0.12;0.572;0.259;0.169;0.111;0.007;pa;0;0.437;0.559;0;0;0;0;0.004;0;0;0;0;0;-14.1;0.011;243
243;73.407;370;353;76;490;77;15.8;194;0.611;0.52;2.54;2.32;1.64;0.91;1.1;0.3;0.07;13.45;1.21;jja;202.25;3.3;djf;211;0.677;0;0.21;0;0;0.108;2.46;2.18;0.69;0.22;0.84;0.65;4.05;1.19;0.45;0.667;0.15;0.575;0.248;0.177;0.095;0.005;pa;0;0;0.514;0;0;0;0;0.486;0;0;0;0;0;-14.4;0.097;314
244;134.178;1444;1407;402;1766;308;19.5;5;0.672;0.59;4.11;2.05;1.09;0.5;0.52;0.32;0.33;9.55;1.09;jja;159.95;2.73;djf;312;0.139;0.094;0.526;0;0;0.034;3.06;2.91;0.69;0.07;0.83;0.87;0.84;0.49;0.53;0.036;0.1;0.376;0.391;0.233;0.13;0.059;sc;0;0.363;0;0;0;0;0.6;0.037;0;0;0;0;0;-12;0.047;248
245;87.18;1566;1619;342;1614;304;15.8;355;0.668;0.82;4.01;2.01;1.04;0.5;0.48;0.32;0.36;9.7;1.09;jja;160.1;2.72;djf;312;0.07;0.076;0.531;0;0;0.01;3.31;3.18;0.7;0.06;0.83;0.89;0.85;0.34;0.47;0.032;0.05;0.389;0.411;0.2;0.151;0.02;sc;0;0.119;0;0;0;0;0.881;0;0;0;0;0;0;-11.9;0.054;248
246;58.555;1574;1605;295;1363;306;12.7;350;0.682;0.78;4.08;2.01;1.05;0.49;0.48;0.31;0.37;9.45;1.09;jja;160.2;2.72;djf;312;0.053;0.071;0.536;0;0;0.005;3.31;3.17;0.71;0.08;0.83;0.84;0.79;0.5;0.44;0.03;0.08;0.513;0.321;0.166;0.124;0.015;sc;0;0.197;0;0;0;0;0.803;0;0;0;0;0;0;-11.9;0.05;248
247;63.048;1867;1909;380;1738;467;11.4;299;0.789;0.77;3.9;1.89;1.03;0.48;0.4;0.35;0.38;10;1.1;jja;161.2;2.74;djf;333;0.039;0.36;0.271;0;0;0;2.35;2.3;0.59;0.01;0.75;0.89;0.52;0.54;0.43;0.03;0.08;0.623;0.244;0.133;0.12;0.013;mt;0;1;0;0;0;0;0;0;0;0;0;0;0;-14.1;0.01;248
248;308.889;1426;1385;398;2126;321;24.1;51;0.824;0.78;4.28;2.02;1.11;0.47;0.5;0.31;0.36;9.25;1.13;jja;158.05;2.72;djf;312;0.137;0.104;0.525;0.001;0.001;0.028;3.28;3.12;0.7;0.09;0.83;0.84;0.96;0.57;0.45;0.041;0.09;0.508;0.318;0.174;0.13;0.013;mt;0;0.56;0;0;0;0;0.44;0;0;0;0;0;0;-12.2;0.032;249
249;847.56;1399;1394;439;2036;321;35.1;70;0.936;0.74;4.36;2.01;1.14;0.46;0.5;0.37;0.32;8.9;1.13;jja;153.15;2.68;djf;312;0.141;0.088;0.462;0;0.001;0.018;3.61;3.46;0.71;0.09;0.86;0.88;0.89;0.62;0.46;0.047;0.1;0.504;0.311;0.185;0.117;0.012;mt;0;0.639;0;0;0;0;0.353;0.008;0;0;0;0;0;-12.2;0.029;252
250;191.131;1467;1511;359;1691;336;23.5;345;0.665;0.94;4.06;1.99;1.13;0.49;0.49;0.41;0.3;9.3;1.11;jja;156;2.7;djf;312;0.092;0.009;0.407;0;0;0.013;3.81;3.67;0.73;0.09;0.87;0.88;0.8;0.63;0.45;0.049;0.1;0.53;0.301;0.168;0.117;0.012;mt;0;0.977;0;0;0;0;0.023;0;0;0;0;0;0;-13.4;0.011;252
251;158.368;1430;1453;338;1569;334;19.3;309;0.737;0.85;4.17;2;1.2;0.48;0.51;0.42;0.28;9.05;1.1;jja;153.9;2.7;djf;312;0.086;0.005;0.481;0;0;0.014;3.85;3.66;0.73;0.11;0.86;0.85;0.86;0.65;0.44;0.052;0.1;0.53;0.302;0.168;0.118;0.011;mt;0;0.942;0;0;0;0;0.058;0;0;0;0;0;0;-13;0.013;252
252;272.595;1235;1190;425;1736;267;20.5;102;0.909;0.63;4.88;2.04;1.28;0.42;0.57;0.39;0.27;7.95;1.2;jja;148.9;2.69;djf;312;0.158;0.099;0.498;0;0;0.044;3.52;3.36;0.72;0.09;0.87;0.88;1.67;0.54;0.47;0.065;0.08;0.439;0.349;0.211;0.132;0.016;sc;0;0.157;0;0;0;0;0.638;0.206;0;0;0;0;0;-12;0.079;254
253;367.515;1316;1321;376;1788;310;30.2;305;0.715;0.85;3.96;2.03;1.22;0.51;0.57;0.44;0.28;9.8;1.17;jja;158.65;2.74;djf;312;0.121;0.036;0.542;0;0.001;0.024;3.78;3.57;0.73;0.14;0.86;0.79;0.79;0.72;0.45;0.058;0.1;0.559;0.281;0.161;0.119;0.011;mt;0;0.688;0;0;0;0;0.133;0.168;0;0;0.01;0;0;-12.7;0.048;254
254;152.361;1039;1006;340;1608;282;16.3;72;0.855;0.8;4.55;2.11;1.33;0.46;0.68;0.42;0.24;8.15;1.2;jja;153.65;2.69;djf;312;0.157;0.07;0.587;0;0;0.046;3.9;3.66;0.74;0.14;0.87;0.82;0.95;0.73;0.46;0.045;0.1;0.514;0.313;0.173;0.125;0.013;sc;0;0.332;0;0;0;0;0.639;0.029;0;0;0;0;0;-12;0.047;263
255;251.498;1215;1213;326;1700;382;18.8;284;0.953;0.71;3.82;2.09;1.36;0.55;0.61;0.4;0.27;10.45;1.24;jja;162.95;2.74;djf;312;0.027;0.096;0.673;0;0.002;0.017;3.41;3.22;0.68;0.12;0.78;0.75;0.67;0.53;0.47;0.046;0.09;0.434;0.373;0.193;0.141;0.014;sc;0;0.286;0;0;0;0;0.681;0;0;0;0.033;0;0;-12;0.047;263
256;281.301;1090;1049;195;1231;277;17.1;207;1.104;0.79;3.82;2.23;1.68;0.58;0.67;0.39;0.22;10.2;1.23;jja;164.7;2.75;djf;312;0.078;0.014;0.847;0;0;0.011;3.98;3.61;0.73;0.23;0.81;0.64;0.73;0.46;0.49;0.082;0.08;0.365;0.391;0.244;0.119;0.016;sc;0;0.017;0;0;0;0;0.915;0.044;0;0;0.024;0;0;-11.8;0.066;258
257;54.409;1172;1169;229;1191;297;9.4;197;0.887;0.68;3.98;2.15;1.49;0.54;0.63;0.36;0.27;9.95;1.21;jja;163.05;2.75;djf;312;0.02;0.022;0.869;0;0;0;3.9;3.56;0.73;0.2;0.82;0.69;0.67;0.34;0.5;0.067;0.06;0.313;0.39;0.297;0.1;0.017;sc;0;0;0;0;0;0;1;0;0;0;0;0;0;-11.8;0.06;258
258;258.045;1164;1125;335;1682;386;26.2;250;0.691;0.59;3.93;2.13;1.45;0.54;0.63;0.37;0.27;10.15;1.19;jja;161.7;2.77;djf;312;0.03;0.18;0.656;0;0;0.009;3.24;3.05;0.67;0.13;0.77;0.73;0.65;0.33;0.48;0.046;0.06;0.366;0.423;0.211;0.148;0.02;sc;0;0;0;0;0;0;1;0;0;0;0;0;0;-11.8;0.06;263
259;93.461;1020;991;288;1671;363;16.4;58;0.663;0.82;4.36;2.17;1.51;0.5;0.7;0.39;0.23;9.3;1.23;jja;158.6;2.72;djf;312;0.043;0.053;0.757;0;0;0;4.23;3.99;0.75;0.18;0.83;0.73;0.63;0.36;0.49;0.052;0.06;0.352;0.422;0.226;0.126;0.02;sc;0;0;0;0;0;0;0.929;0.071;0;0;0;0;0;-11.8;0.069;263
260;87.299;704;673;194;1075;274;10.7;208;0.984;0.9;3.8;2.27;1.75;0.6;0.9;0.32;0.17;11.7;1.24;jja;175.65;2.9;djf;313;0.229;0;0.715;0;0;0.048;4.7;4.33;0.79;0.24;0.89;0.71;0.83;0.37;0.49;0.071;0.07;0.349;0.421;0.23;0.119;0.02;sc;0;0;0;0;0;0;1;0;0;0;0;0;0;-11.8;0.06;263
261;24.725;666;655;123;583;219;5.5;146;1.018;0.42;3.78;2.27;1.88;0.6;0.9;0.34;0.15;11.65;1.23;jja;179.8;2.93;djf;313;0.338;0;0.651;0;0;0.011;4.75;4.35;0.8;0.25;0.92;0.72;0.84;0.38;0.49;0.099;0.07;0.363;0.434;0.203;0.129;0.02;sm;0;0;0;0;0;0;0.477;0.523;0;0;0;0;0;-12.1;0.128;263
262;168.996;868;856;237;1364;339;19.7;345;0.745;0.89;4.15;2.23;1.75;0.54;0.79;0.37;0.2;10.05;1.23;jja;164.5;2.73;djf;312;0.02;0.008;0.915;0;0;0.003;4.9;4.55;0.79;0.25;0.87;0.67;0.71;0.37;0.49;0.053;0.07;0.354;0.426;0.221;0.123;0.02;sc;0;0;0;0;0;0;0.815;0.185;0;0;0;0;0;-11.9;0.084;263
263;1140.63;888;833;348;1986;319;64;295;0.595;0.81;3.99;2.21;1.61;0.55;0.76;0.36;0.21;9.65;1.25;jja;161.7;2.74;djf;312;0.149;0.051;0.715;0;0;0.018;4.21;3.92;0.75;0.19;0.86;0.73;0.86;0.39;0.48;0.067;0.07;0.369;0.406;0.225;0.124;0.018;sc;0;0.01;0;0;0;0;0.865;0.115;0;0;0.01;0;0;-11.9;0.075;281
264;25.274;1343;1319;425;1623;442;7;35;0.815;0.54;5.07;2;1.32;0.39;0.5;0.37;0.29;8.1;1.23;jja;149.2;2.69;djf;312;0.039;0.35;0.493;0;0;0;2.91;2.84;0.61;0.02;0.73;0.83;0.7;0.3;0.48;0.029;0.05;0.367;0.365;0.268;0.162;0.017;sc;0;0;0;0;0;0;1;0;0;0;0;0;0;-11.8;0.06;266
265;17.423;1495;1512;431;1877;437;6.2;99;0.765;0.38;4.98;1.91;1.45;0.38;0.44;0.36;0.3;7.85;1.21;jja;151.9;2.71;djf;332;0;0.418;0.387;0;0;0;2.02;1.96;0.49;0.02;0.55;0.64;0.6;0.3;0.47;0.029;0.05;0.392;0.396;0.212;0.182;0.019;sc;0;0;0;0;0;0;1;0;0;0;0;0;0;-11.8;0.06;266
266;40.965;1300;1251;475;1810;420;8.9;83;0.809;0.6;4.98;2.01;1.41;0.4;0.52;0.36;0.3;7.95;1.2;jja;151.45;2.7;djf;312;0.048;0.351;0.447;0;0;0.014;2.85;2.74;0.6;0.08;0.67;0.69;0.81;0.47;0.47;0.032;0.07;0.383;0.414;0.203;0.167;0.017;sc;0;0;0;0;0;0;1;0;0;0;0;0;0;-11.8;0.06;267
267;102.814;1108;1001;400;1893;346;13.8;334;0.83;0.69;4.8;2.1;1.51;0.44;0.6;0.37;0.27;8;1.21;jja;152.75;2.69;djf;312;0.102;0.105;0.645;0;0;0.014;3.82;3.65;0.71;0.14;0.81;0.76;0.74;0.37;0.48;0.041;0.06;0.363;0.415;0.222;0.142;0.019;sc;0;0;0;0;0;0;0.891;0.109;0;0;0;0;0;-11.9;0.074;276
268;41.504;1222;1223;348;1731;336;7.2;73;1.014;0.58;4.69;2.08;1.38;0.44;0.59;0.4;0.25;8.4;1.21;jja;153.1;2.69;djf;312;0.065;0.113;0.641;0;0;0.03;3.85;3.68;0.71;0.1;0.81;0.81;0.7;0.41;0.48;0.037;0.07;0.376;0.425;0.199;0.133;0.019;sc;0;0;0;0;0;0;0.802;0.198;0;0;0;0;0;-11.9;0.086;270
269;68.425;1040;996;292;1623;278;11.3;306;0.824;0.78;4.54;2.17;1.45;0.48;0.69;0.41;0.24;9.15;1.22;NA;157.95;2.69;djf;312;0.221;0.057;0.597;0;0;0.015;4.28;4.08;0.76;0.14;0.87;0.81;0.9;0.47;0.49;0.051;0.08;0.366;0.407;0.228;0.121;0.017;sc;0;0;0;0;0;0;0.803;0.197;0;0;0;0;0;-11.9;0.086;270
270;38.624;839;711;296;1253;213;7.6;320;0.92;0.66;4.67;2.2;1.47;0.47;0.77;0.39;0.25;8.45;1.22;jja;154.5;2.68;djf;231;0.398;0.01;0.5;0;0;0.068;4.32;4.12;0.78;0.15;0.93;0.86;1.35;0.68;0.48;0.054;0.11;0.382;0.377;0.24;0.107;0.012;sm;0;0;0;0;0;0;0.345;0.655;0;0;0;0;0;-12.3;0.145;273
271;9.36;1367;1359;385;1570;376;5.2;22;0.667;0.15;4.69;1.99;1.48;0.42;0.51;0.39;0.25;8.55;1.23;jja;154.45;2.68;djf;312;0.047;0.206;0.576;0;0;0.003;3.95;3.9;0.69;0.06;0.77;0.82;0.59;0.3;0.47;0.038;0.05;0.38;0.42;0.2;0.17;0.02;sc;0;0;0;0;0;0;0.99;0.01;0;0;0;0;0;-11.8;0.061;273
272;15.623;1269;1336;328;1334;379;5.5;246;0.816;0.68;4.31;2.05;1.76;0.48;0.55;0.38;0.2;9.75;1.21;jja;161.95;2.74;djf;312;0;0.165;0.576;0;0;0;2.8;2.6;0.67;0.11;0.8;0.78;0.65;0.35;0.48;0.035;0.06;0.356;0.41;0.234;0.14;0.018;sc;0;0;0;0;0;0;1;0;0;0;0;0;0;-11.8;0.06;273
273;59.798;916;799;352;1834;289;12.6;346;0.692;1.01;4.59;2.18;1.6;0.47;0.74;0.38;0.23;8.7;1.23;jja;155.7;2.68;djf;312;0.202;0.066;0.649;0;0;0.006;4.12;3.9;0.76;0.17;0.86;0.76;1.1;0.42;0.48;0.053;0.07;0.364;0.408;0.228;0.127;0.017;sc;0;0;0;0;0;0;0.778;0.222;0;0;0;0;0;-11.9;0.089;276
274;15.077;1153;1152;330;1286;372;7;262;0.628;0.3;4.38;2.13;1.79;0.49;0.61;0.36;0.2;9.65;1.2;jja;159.6;2.71;djf;313;0;0.136;0.522;0;0;0;3.13;2.87;0.71;0.18;0.8;0.69;0.7;0.34;0.48;0.039;0.06;0.37;0.44;0.19;0.147;0.021;sc;0;0;0;0;0;0;1;0;0;0;0;0;0;-11.8;0.06;276
275;71.858;966;915;274;1647;347;10.2;86;0.935;0.8;4.56;2.17;1.72;0.48;0.65;0.34;0.22;8.95;1.21;jja;156.8;2.7;djf;313;0.02;0.055;0.783;0;0;0.006;4.09;3.84;0.74;0.21;0.83;0.68;0.75;0.37;0.49;0.037;0.07;0.348;0.418;0.233;0.12;0.019;sc;0;0;0;0;0;0;1;0;0;0;0;0;0;-11.8;0.06;276
276;35.762;749;701;237;1157;330;9.6;343;0.701;0.81;4.42;2.24;1.77;0.51;0.78;0.35;0.2;9.65;1.2;jja;158.6;2.71;djf;313;0.098;0;0.788;0;0;0.019;4.21;3.95;0.77;0.23;0.86;0.68;1.02;0.35;0.48;0.051;0.06;0.37;0.44;0.19;0.145;0.021;sc;0;0;0;0;0;0;1;0;0;0;0;0;0;-11.8;0.06;280
